symbol,name,event_date,role,group,prev_close,open,high,low,close,open_gap_pct,return_5m_pct,return_15m_pct,return_30m_pct,max_dd_from_open_30m_pct,max_dd_from_prev_close_30m_pct,time_of_day_low,time_of_day_high,time_of_30m_low,minutes_to_recover_open,minutes_to_recover_prev_close,minutes_to_reclaim_vwap,time_below_vwap_pct,first_30m_volume_share_pct,first_60m_volume_share_pct,low_to_close_return_pct,open_to_close_return_pct,close_location,morning_low_to_1130_return_pct,afternoon_return_pct,EARLY_LOW,OPENING_SHAKEOUT,FAST_RECLAIM,VWAP_RECLAIM,n_bars
600468,百利电气,2026-08-03,SECOND_LAUNCH_SUCCESS,SUCCESS,5.65,5.76,6.22,5.71,6.22,1.9469,-0.5208,2.9514,7.9861,-0.8681,1.0619,09:33,09:47,09:33,6,4.0,,1.68,91.53,94.27,8.9317,7.9861,1.0,8.9317,0.0,True,False,False,False,238
601858,中国科传,2026-08-03,SECOND_LAUNCH_SUCCESS,SUCCESS,19.78,19.19,21.76,19.09,21.76,-2.9828,1.0943,1.407,2.2929,-0.5211,-3.4884,09:39,13:16,09:39,11,31.0,14.0,5.04,23.73,40.31,13.9864,13.3924,1.0,9.5862,4.0153,True,False,False,True,238
600756,浪潮软件,2026-08-03,OBSERVATION_FAST_RECLAIM,OBSERVATION,16.33,16.1,16.75,15.38,16.59,-1.4085,-1.4907,-2.5466,-2.6708,-4.472,-5.8175,09:40,13:45,09:40,83,97.0,14.0,11.76,36.64,45.43,7.8674,3.0435,0.883,4.9415,2.7881,True,True,False,True,238
600756,浪潮软件,2026-08-04,OBSERVATION_HOLD_DAY,OBSERVATION,16.59,16.35,16.65,15.86,16.18,-1.4467,-0.367,-0.6728,-1.7737,-2.9969,-4.4002,10:00,09:32,10:00,43,,10.0,59.66,37.72,52.61,2.0177,-1.0398,0.405,3.0265,-0.9792,True,False,False,True,238
