episode_id,symbol,outcome,OUTCOME_EVENT_DATE,EVENT_SESSION_OFFSET,CHECKPOINT,OPEN_GAP_PCT,DRAWDOWN_FROM_OPEN_PCT,DRAWDOWN_FROM_PREV_CLOSE_PCT,CURRENT_RETURN_FROM_OPEN_PCT,CURRENT_RETURN_FROM_PREV_CLOSE_PCT,VWAP_STATE,DIST_TO_VWAP_PCT,VWAP_FIRST_RECLAIMED,VWAP_SECOND_RECLAIMED,VWAP_REBREAK_COUNT,VWAP_RECLAIM_COUNT,PREV_CLOSE_STATE,DIST_TO_PREV_CLOSE_PCT,S1_STATE,DIST_TO_S1_PCT,S1_TOUCHED_BY_CHECKPOINT,S1_FIRST_TOUCH_MIN,MINUTES_SINCE_S1_TOUCH,S1_REBREAK_AFTER_TOUCH,S1_REBREAK_COUNT,S1_RECLAIM_COUNT,S1_SECOND_RECLAIMED,OPEN_SHAKE_RECLAIMED,OPEN_RECLAIMED_NOW,NEW_LOW_AFTER_OPEN_RECLAIM,HIGH_FROM_OPEN_PCT,LOW_FROM_OPEN_PCT,TIME_OF_MORNING_LOW_MIN,HIGH_PROGRESSION_PCT,LOW_PROGRESSION_PCT,CUM_VOLUME,CUM_VOLUME_VS_CANDIDATE_DAY_SAME_FRACTION
000815:20260610:1687,000815,FAILED_BREAKOUT,2026-06-16,1.0,1130,0.3123,-2.2416,-1.9363,2.2416,2.5609,ABOVE,1.6492,True,False,0,1,ABOVE,2.5609,BELOW,-0.243,True,115.0,5.0,False,0,0,False,True,True,False,2.6152,-2.2416,10,0.0,-0.507,35232219.0,
001360:20260612:1874,001360,FAILED_BREAKOUT,2026-06-16,1.0,0945,0.3996,-1.2438,-0.8492,0.0995,0.4995,ABOVE,0.1925,True,False,1,1,ABOVE,0.4995,BELOW,-5.8052,False,,,False,0,0,False,True,True,False,1.0945,-1.2438,5,,,1399654.0,
001360:20260612:1874,001360,FAILED_BREAKOUT,2026-06-16,1.0,1000,0.3996,-1.2438,-0.8492,0.6468,1.049,ABOVE,0.5574,True,False,1,1,ABOVE,1.049,BELOW,-5.2903,False,,,False,0,0,False,True,True,False,1.194,-1.2438,5,0.0,-0.4014,1950254.0,
001360:20260612:1874,001360,FAILED_BREAKOUT,2026-06-16,1.0,1030,0.3996,-1.2438,-0.8492,5.6716,6.0939,ABOVE,4.0395,True,False,1,1,ABOVE,6.0939,BELOW,-0.5618,True,60.0,0.0,False,0,0,False,True,True,False,6.4677,-1.2438,5,1.6144,-0.4014,3501864.0,
001360:20260612:1874,001360,FAILED_BREAKOUT,2026-06-16,1.0,1130,0.3996,-1.2438,-0.8492,5.0249,5.4446,ABOVE,2.5335,True,False,1,1,ABOVE,5.4446,BELOW,-1.1704,True,60.0,60.0,False,0,0,False,True,True,False,6.4677,-1.2438,5,0.0,-0.4014,4812664.0,
002997:20260612:2938,002997,FAILED_BREAKOUT,2026-06-17,2.0,0945,2.4024,-2.0854,0.2669,-1.8573,0.5005,BELOW,-0.404,False,False,0,0,ABOVE,0.5005,BELOW,-2.1124,False,,,False,0,0,False,False,False,,0.0,-2.0854,10,,,496500.0,
002997:20260612:2938,002997,FAILED_BREAKOUT,2026-06-17,2.0,1000,2.4024,-2.0854,0.2669,-1.5966,0.7674,BELOW,-0.6237,True,False,1,1,ABOVE,0.7674,BELOW,-1.8525,True,20.0,10.0,True,1,0,False,True,False,False,0.4562,-2.0854,10,0.0,-0.0665,1232900.0,
002997:20260612:2938,002997,FAILED_BREAKOUT,2026-06-17,2.0,1030,2.4024,-2.0854,0.2669,0.4888,2.9029,ABOVE,1.2633,True,True,1,2,ABOVE,2.9029,ABOVE,0.2275,True,20.0,40.0,True,1,1,True,True,True,False,0.5865,-2.0854,10,0.1297,-0.0665,1989100.0,
002997:20260612:2938,002997,FAILED_BREAKOUT,2026-06-17,2.0,1130,2.4024,-2.0854,0.2669,-0.9449,1.4348,BELOW,-0.4999,True,True,2,2,ABOVE,1.4348,BELOW,-1.2025,True,20.0,100.0,True,3,2,True,True,False,False,0.7494,-2.0854,10,0.0,-0.0665,3595940.0,
600667:20260611:1751,600667,SUCCESS,2026-06-17,2.0,0945,1.2118,-0.057,1.1541,1.7104,2.9429,ABOVE,0.6977,False,False,0,0,ABOVE,2.9429,BELOW,-5.4083,False,,,False,0,0,False,False,True,,2.6226,-0.057,5,,,53447434.0,
600667:20260611:1751,600667,SUCCESS,2026-06-17,2.0,1000,1.2118,-0.057,1.1541,2.5086,3.7507,ABOVE,0.8416,False,False,0,0,ABOVE,3.7507,BELOW,-4.666,False,,,False,0,0,False,False,True,,3.4208,-0.057,5,0.0,-1.3506,85876497.0,
600667:20260611:1751,600667,SUCCESS,2026-06-17,2.0,1030,1.2118,-0.057,1.1541,2.9647,4.2123,ABOVE,0.6161,False,False,0,0,ABOVE,4.2123,BELOW,-4.2418,False,,,False,0,0,False,False,True,,4.561,-0.057,5,0.0,-1.3506,136613810.0,
600667:20260611:1751,600667,SUCCESS,2026-06-17,2.0,1130,1.2118,-0.057,1.1541,4.39,5.6549,ABOVE,1.5518,False,False,0,0,ABOVE,5.6549,BELOW,-2.9162,False,,,False,0,0,False,False,True,,5.6442,-0.057,5,0.0,-1.3506,198796329.0,
002965:20260611:3854,002965,SUCCESS,2026-06-16,1.0,0945,-0.0741,-0.5935,-0.6672,5.5638,5.4855,ABOVE,0.867,False,False,0,0,ABOVE,5.4855,ABOVE,1.6671,True,5.0,10.0,False,0,0,False,False,True,,6.8249,-0.5935,5,,,6861303.0,
002965:20260611:3854,002965,SUCCESS,2026-06-16,1.0,1000,-0.0741,-0.5935,-0.6672,7.4431,7.3635,ABOVE,2.1726,False,False,0,0,ABOVE,7.3635,ABOVE,3.477,True,5.0,25.0,False,0,0,False,False,True,,7.542,-0.5935,5,0.6946,-5.1887,10061473.0,
002965:20260611:3854,002965,SUCCESS,2026-06-16,1.0,1030,-0.0741,-0.5935,-0.6672,6.182,6.1033,ABOVE,0.7733,False,False,0,0,ABOVE,6.1033,ABOVE,2.2624,True,5.0,55.0,False,0,0,False,False,True,,7.542,-0.5935,5,0.0,-5.1887,12120434.0,
002965:20260611:3854,002965,SUCCESS,2026-06-16,1.0,1130,-0.0741,-0.5935,-0.6672,5.4402,5.362,ABOVE,0.0486,True,True,2,2,ABOVE,5.362,ABOVE,1.548,True,5.0,115.0,False,0,0,False,False,True,,7.542,-0.5935,5,0.0,-5.0543,14630224.0,
000969:20260612:2446,000969,FAILED_BREAKOUT,2026-06-22,3.0,0945,5.1682,-1.5211,3.5685,2.6131,7.9163,ABOVE,1.6092,False,False,0,0,ABOVE,7.9163,ABOVE,0.535,True,10.0,5.0,False,0,0,False,False,True,,2.9641,-1.5211,5,,,22407958.0,
000969:20260612:2446,000969,FAILED_BREAKOUT,2026-06-22,3.0,1000,5.1682,-1.5211,3.5685,1.131,6.3577,BELOW,-0.0692,False,False,1,0,ABOVE,6.3577,BELOW,-0.9171,True,10.0,20.0,True,1,0,False,False,True,,2.9641,-1.5211,5,0.0,-2.5473,30685911.0,
