episode_id,symbol,outcome,OUTCOME_EVENT_DATE,EVENT_SESSION_OFFSET,fetch_status,bar_count,first_timestamp,last_timestamp,monotonic,duplicate_ts,ohlc_valid,max_gap_min,READY_0945,READY_1000,READY_1030,READY_1130,FULL_SESSION_COMPLETE,has_pm_session,has_close_session,INTRADAY_DAILY_MISMATCH,mismatch_detail,daily_high,minute_high,daily_close,minute_close,daily_s1_ok,data_source,5m_fetch_status,5m_has_data,5m_bar_count,5M_READY_0945,5M_READY_1000,5M_READY_1030,5M_READY_1130,5M_FULL_SESSION_COMPLETE
600732:20260610:1207,600732,FAILED_BREAKOUT,2026-06-12,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,13.27,,12.7,,True,NONE,OK,True,48,True,True,True,True,True
003030:20260610:2342,003030,FAILED_BREAKOUT,2026-06-15,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,25.25,,24.15,,True,NONE,OK,True,48,True,True,True,True,True
603335:20260609:768,603335,FAILED_BREAKOUT,2026-06-12,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,8.05,,8.05,,True,NONE,OK,True,48,True,True,True,True,True
002583:20260609:939,002583,FAILED_BREAKOUT,2026-06-12,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,10.18,,9.55,,True,NONE,OK,True,48,True,True,True,True,True
002837:20260609:6972,002837,SUCCESS,2026-06-16,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,75.14,,73.19,,True,NONE,OK,True,48,True,True,True,True,True
002378:20260611:3363,002378,FAILED_BREAKOUT,2026-06-16,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,39.88,,37.88,,True,NONE,OK,True,48,True,True,True,True,True
002842:20260611:3934,002842,FAILED_BREAKOUT,2026-06-17,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,45.49,,43.38,,True,NONE,OK,True,48,True,True,True,True,True
002428:20260611:8824,002428,FAILED_BREAKOUT,2026-06-15,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,101.49,,101.49,,True,NONE,OK,True,48,True,True,True,True,True
603315:20260611:1650,603315,FAILED_BREAKOUT,2026-06-16,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,17.5,,17.03,,True,NONE,OK,True,48,True,True,True,True,True
000815:20260610:1687,000815,FAILED_BREAKOUT,2026-06-16,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,16.51,,16.3,,True,NONE,OK,True,48,True,True,True,True,True
001360:20260612:1874,001360,FAILED_BREAKOUT,2026-06-16,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,21.4,,20.81,,True,NONE,OK,True,48,True,True,True,True,True
002997:20260612:2938,002997,FAILED_BREAKOUT,2026-06-17,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,31.25,,31.11,,True,NONE,OK,True,48,True,True,True,True,True
600667:20260611:1751,600667,SUCCESS,2026-06-17,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,19.54,,19.02,,True,NONE,OK,True,48,True,True,True,True,True
002965:20260611:3854,002965,SUCCESS,2026-06-16,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,43.49,,42.92,,True,NONE,OK,True,48,True,True,True,True,True
000969:20260612:2446,000969,FAILED_BREAKOUT,2026-06-22,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,26.72,,26.43,,True,NONE,OK,True,48,True,True,True,True,True
603519:20260612:1364,603519,FAILED_BREAKOUT,2026-06-17,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,15.1,,14.88,,True,NONE,OK,True,48,True,True,True,True,True
603318:20260611:985,603318,SUCCESS,2026-06-16,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,9.65,,9.65,,True,NONE,OK,True,48,True,True,True,True,True
002927:20260612:2017,002927,FAILED_BREAKOUT,2026-06-18,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,23.45,,22.6,,True,NONE,OK,True,48,True,True,True,True,True
600601:20260612:1289,600601,FAILED_BREAKOUT,2026-06-16,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,14.42,,14.1,,True,NONE,OK,True,48,True,True,True,True,True
603936:20260611:2372,603936,SUCCESS,2026-06-17,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,27.49,,26.76,,True,NONE,OK,True,48,True,True,True,True,True
002208:20260610:1674,002208,SUCCESS,2026-06-17,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,18.0,,17.58,,True,NONE,OK,True,48,True,True,True,True,True
600497:20260612:928,600497,FAILED_BREAKOUT,2026-06-22,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,11.31,,11.31,,True,NONE,OK,True,48,True,True,True,True,True
002745:20260615:1025,002745,SUCCESS,2026-06-17,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,11.52,,11.43,,True,NONE,OK,True,48,True,True,True,True,True
000070:20260615:1881,000070,SUCCESS,2026-06-17,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,20.83,,20.66,,True,NONE,OK,True,48,True,True,True,True,True
002174:20260615:1109,002174,FAILED_BREAKOUT,2026-06-22,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,12.36,,12.33,,True,NONE,OK,True,48,True,True,True,True,True
000593:20260615:2267,000593,FAILED_BREAKOUT,2026-06-18,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,26.3,,25.2,,True,NONE,OK,True,48,True,True,True,True,True
002106:20260615:1338,002106,SUCCESS,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,14.99,,14.07,,True,NONE,OK,True,48,True,True,True,True,True
000811:20260615:3385,000811,FAILED_BREAKOUT,2026-06-17,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,36.52,,36.52,,True,NONE,OK,True,48,True,True,True,True,True
603993:20260612:1911,603993,FAILED_BREAKOUT,2026-06-18,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,21.14,,20.04,,True,NONE,OK,True,48,True,True,True,True,True
603052:20260615:9078,603052,FAILED_BREAKOUT,2026-06-18,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,98.4,,95.68,,True,NONE,OK,True,48,True,True,True,True,True
600237:20260615:1068,600237,SUCCESS,2026-06-22,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,12.6,,12.6,,True,NONE,OK,True,48,True,True,True,True,True
002281:20260615:22547,002281,FAILED_BREAKOUT,2026-06-18,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,266.2,,266.2,,True,NONE,OK,True,48,True,True,True,True,True
603070:20260615:1604,603070,FAILED_BREAKOUT,2026-06-17,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,18.25,,18.15,,True,NONE,OK,True,48,True,True,True,True,True
600520:20260615:2958,600520,SUCCESS,2026-06-18,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,33.6,,32.66,,True,NONE,OK,True,48,True,True,True,True,True
002734:20260616:1639,002734,SUCCESS,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,18.12,,18.1,,True,NONE,OK,True,48,True,True,True,True,True
002805:20260616:2420,002805,FAILED_BREAKOUT,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,26.88,,26.88,,True,NONE,OK,True,48,True,True,True,True,True
603950:20260615:6549,603950,SUCCESS,2026-06-22,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,72.38,,72.38,,True,NONE,OK,True,48,True,True,True,True,True
002428:20260615:10149,002428,FAILED_BREAKOUT,2026-06-22,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,110.48,,110.48,,True,NONE,OK,True,48,True,True,True,True,True
002729:20260616:1947,002729,FAILED_BREAKOUT,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,20.63,,20.44,,True,NONE,OK,True,48,True,True,True,True,True
603629:20260615:16737,603629,FAILED_BREAKOUT,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,178.0,,176.58,,True,NONE,OK,True,48,True,True,True,True,True
600362:20260615:4736,600362,SUCCESS,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,53.31,,53.31,,True,NONE,OK,True,48,True,True,True,True,True
603318:20260616:965,603318,FAILED_BREAKOUT,2026-06-22,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,10.74,,10.63,,True,NONE,OK,True,48,True,True,True,True,True
000657:20260615:8690,000657,FAILED_BREAKOUT,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,98.48,,98.48,,True,NONE,OK,True,48,True,True,True,True,True
600563:20260615:15730,600563,FAILED_BREAKOUT,2026-06-22,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,177.25,,172.94,,True,NONE,OK,True,48,True,True,True,True,True
002910:20260616:1121,002910,FAILED_BREAKOUT,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,12.28,,11.65,,True,NONE,OK,True,48,True,True,True,True,True
002645:20260616:3363,002645,FAILED_BREAKOUT,2026-06-18,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,36.61,,36.1,,True,NONE,OK,True,48,True,True,True,True,True
