episode_id,symbol,name,candidate_date,trade_date,anchor_date,candidate_state,selection_source,selection_reason,outcome,outcome_reason,data_cutoff,pit_valid,intraday_data_available,invalid_price,s1_price,b2_trigger_price,pattern_3d,setup_quality_score,entry_quality_score,data_quality,duplicate_check,same_anchor_sibling_count
000560:20240701:244,000560,,2024-07-03,2024-07-04,2024-07-01,B2_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.39,2.74,2.73,INVALID_BEFORE_S1,71.15,5.21,PARTIAL,1,0
003005:20240702:2294,003005,竞业达,2024-07-03,2024-07-04,2024-07-02,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,22.83,26.3,,INVALID_BEFORE_S1,81.16,81.16,PARTIAL,1,0
600266:20240701:411,600266,,2024-07-03,2024-07-04,2024-07-01,B2_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,4.09,4.59,4.38,INVALID_BEFORE_S1,62.18,52.76,PARTIAL,1,0
002562:20240701:328,002562,,2024-07-03,2024-07-04,2024-07-01,B2_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,3.26,3.66,3.68,INVALID_BEFORE_S1,81.41,0.0,PARTIAL,1,0
600221:20240701:112,600221,,2024-07-03,2024-07-04,2024-07-01,B2_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,1.14,1.24,1.21,INVALID_BEFORE_S1,76.28,37.82,PARTIAL,1,0
000659:20240702:146,000659,珠海中富,2024-07-03,2024-07-04,2024-07-02,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,1.4,1.57,,INVALID_BEFORE_S1,67.12,67.12,PARTIAL,1,0
600719:20240628:999,600719,,2024-07-04,2024-07-05,2024-06-28,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,NO_LAUNCH,no S1 and no invalid touch within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,7.97,10.49,,NEITHER,66.41,39.61,PARTIAL,1,0
002741:20240703:981,002741,,2024-07-04,2024-07-05,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,9.46,10.56,,INVALID_BEFORE_S1,56.16,56.16,PARTIAL,1,0
603536:20240703:893,603536,,2024-07-04,2024-07-05,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,8.21,9.18,,INVALID_BEFORE_S1,76.71,76.71,PARTIAL,1,0
603002:20240703:504,603002,,2024-07-04,2024-07-05,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,4.97,5.33,,INVALID_BEFORE_S1,79.79,79.79,PARTIAL,1,2
