episode_id,symbol,candidate_date,CHECKPOINT,volume_pace,abs_session_low,session_range,session_low_price,session_high_price
002837:20260609:6972,002837,2026-06-11,1000,0.3865499185,3.2221,4.0929,66.68,69.5
002378:20260611:3363,002378,2026-06-12,0945,1.5213238781,2.2599,6.0857,32.87,35.0
002378:20260611:3363,002378,2026-06-12,1000,1.0952641793,2.2599,6.1714,32.87,35.03
002842:20260611:3934,002842,2026-06-12,0945,1.3527242353,3.3808,8.6078,38.01,41.59
002842:20260611:3934,002842,2026-06-12,1000,1.7637635118,3.3808,8.6078,38.01,41.59
002490:20260611:856,002490,2026-06-12,0945,0.9166385329,6.1916,7.2229,8.03,8.61
002490:20260611:856,002490,2026-06-12,1000,1.2837629917,6.1916,14.944,8.03,9.23
600058:20260610:1034,600058,2026-06-12,0945,0.4488095555,1.4271,5.0968,9.67,10.17
600058:20260610:1034,600058,2026-06-12,1000,0.4803460672,1.4271,5.0968,9.67,10.17
002428:20260611:8824,002428,2026-06-12,0945,1.9604650488,0.0113,5.0726,88.25,92.79
002428:20260611:8824,002428,2026-06-12,1000,1.6370512306,0.0113,5.0726,88.25,92.79
603315:20260611:1650,603315,2026-06-12,0945,0.7706006891,2.9697,6.6833,16.01,17.08
603315:20260611:1650,603315,2026-06-12,1000,0.6885524298,2.9697,7.0581,16.01,17.14
600531:20260612:1309,600531,2026-06-15,0945,1.2371365099,0.0,3.8636,13.09,13.6
600531:20260612:1309,600531,2026-06-15,1000,1.2917123759,0.0,3.8636,13.09,13.6
002549:20260611:1815,002549,2026-06-15,0945,0.3612879622,3.804,2.7075,16.69,17.15
002549:20260611:1815,002549,2026-06-15,1000,0.4387481321,3.804,2.7075,16.69,17.15
002637:20260612:1268,002637,2026-06-15,0945,1.7935418368,2.2082,2.9827,12.4,12.78
002637:20260612:1268,002637,2026-06-15,1000,1.3072979076,2.4448,3.2182,12.37,12.78
000815:20260610:1687,000815,2026-06-15,0945,0.9070475924,0.7194,2.9716,15.4,15.86
000815:20260610:1687,000815,2026-06-15,1000,0.8090379116,0.7194,3.23,15.4,15.9
001360:20260612:1874,001360,2026-06-15,0945,4.2068592133,1.0139,4.9762,18.55,19.49
001360:20260612:1874,001360,2026-06-15,1000,5.822275188,1.0139,8.6289,18.55,20.18
002997:20260612:2938,002997,2026-06-15,0945,2.5266916838,0.8509,2.8956,29.13,29.99
002997:20260612:2938,002997,2026-06-15,1000,1.5181959066,0.8509,2.8956,29.13,29.99
600667:20260611:1751,600667,2026-06-15,0945,0.6349672058,0.0,4.6181,16.42,17.2
600667:20260611:1751,600667,2026-06-15,1000,0.6053247927,0.0,4.6181,16.42,17.2
002965:20260611:3854,002965,2026-06-15,0945,0.4090416305,1.4401,4.0544,39.01,40.62
002965:20260611:3854,002965,2026-06-15,1000,0.4313273219,1.4401,4.0544,39.01,40.62
000969:20260612:2446,000969,2026-06-15,0945,1.3172648139,2.8618,5.0243,23.76,25.0
000969:20260612:2446,000969,2026-06-15,1000,1.561612218,2.8618,5.0243,23.76,25.0
603519:20260612:1364,603519,2026-06-15,0945,0.5622364331,2.7859,2.6471,13.26,13.62
603519:20260612:1364,603519,2026-06-15,1000,0.6299234087,2.7859,5.1471,13.26,13.96
001206:20260612:1723,001206,2026-06-15,0945,16.0855438596,1.1608,3.5918,17.43,18.06
001206:20260612:1723,001206,2026-06-15,1000,8.2244816054,1.1608,3.5918,17.43,18.06
603318:20260611:985,603318,2026-06-15,0945,0.5012240069,4.8035,3.6954,8.72,9.05
603318:20260611:985,603318,2026-06-15,1000,0.57910121,4.8035,3.6954,8.72,9.05
002927:20260612:2017,002927,2026-06-15,0945,1.6196492624,4.0159,5.4353,19.36,20.44
002927:20260612:2017,002927,2026-06-15,1000,1.9569969796,4.0159,5.4353,19.36,20.44
600601:20260612:1289,600601,2026-06-15,0945,1.4876978215,1.8619,3.5659,12.65,13.11
600601:20260612:1289,600601,2026-06-15,1000,1.4323282848,1.8619,5.4264,12.65,13.35
603936:20260611:2372,603936,2026-06-15,0945,0.4940607546,0.0,6.1939,23.41,24.86
603936:20260611:2372,603936,2026-06-15,1000,0.518572142,0.0,6.1939,23.41,24.86
002208:20260610:1674,002208,2026-06-15,0945,1.1223434478,2.9754,3.0151,15.92,16.4
002208:20260610:1674,002208,2026-06-15,1000,1.0691263597,2.9754,3.0151,15.92,16.4
600497:20260612:928,600497,2026-06-16,0945,0.607794532,2.3715,4.3216,9.88,10.31
600497:20260612:928,600497,2026-06-16,1000,0.6155274835,2.3715,4.3216,9.88,10.31
600539:20260612:1634,600539,2026-06-16,0945,0.5189991225,1.3497,3.0656,16.08,16.58
600539:20260612:1634,600539,2026-06-16,1000,0.5418107196,1.9632,3.6787,15.98,16.58
002745:20260615:1025,002745,2026-06-16,0945,3.9044037642,0.3902,5.1707,10.21,10.74
002745:20260615:1025,002745,2026-06-16,1000,3.4110181575,0.3902,5.1707,10.21,10.74
000070:20260615:1881,000070,2026-06-16,0945,3.778572893,1.0101,4.5431,19.0,19.88
000070:20260615:1881,000070,2026-06-16,1000,2.7911604712,1.0101,4.5431,19.0,19.88
002174:20260615:1109,002174,2026-06-16,0945,1.5378183374,1.7133,7.7063,10.9,11.75
002174:20260615:1109,002174,2026-06-16,1000,1.5023751305,1.7133,7.7063,10.9,11.75
000593:20260615:2267,000593,2026-06-16,0945,2.7001251795,0.3529,5.913,22.75,24.11
000593:20260615:2267,000593,2026-06-16,1000,2.5923980065,0.0882,6.1739,22.69,24.11
002106:20260615:1338,002106,2026-06-16,0945,0.8231097119,2.0927,4.6442,13.1,13.72
002106:20260615:1338,002106,2026-06-16,1000,0.8252383874,2.0927,4.6442,13.1,13.72
000811:20260615:3385,000811,2026-06-16,0945,2.2325776456,3.0133,5.6587,32.83,34.78
000811:20260615:3385,000811,2026-06-16,1000,1.8357524492,3.0133,5.6587,32.83,34.78
603993:20260612:1911,603993,2026-06-16,0945,0.4685378356,3.7763,2.8922,20.13,20.72
603993:20260612:1911,603993,2026-06-16,1000,0.474820491,3.7763,2.8922,20.13,20.72
603052:20260615:9078,603052,2026-06-16,0945,1.2727549467,1.2448,3.4091,89.65,92.8
603052:20260615:9078,603052,2026-06-16,1000,1.0910145488,1.2448,3.4091,89.65,92.8
600237:20260615:1068,600237,2026-06-16,0945,0.8788314663,3.7453,3.5104,11.08,11.47
600237:20260615:1068,600237,2026-06-16,1000,1.1193779813,3.7453,3.9604,11.08,11.52
002281:20260615:22547,002281,2026-06-16,0945,1.2666901214,2.0136,3.3747,230.01,237.89
002281:20260615:22547,002281,2026-06-16,1000,0.7893772236,2.0136,3.3747,230.01,237.89
603070:20260615:1604,603070,2026-06-16,0945,2.1478583227,1.4963,7.6048,16.28,17.55
603070:20260615:1604,603070,2026-06-16,1000,2.7230793578,1.4963,7.6048,16.28,17.55
600520:20260615:2958,600520,2026-06-16,0945,1.2940769595,1.217,3.2116,29.22,30.17
600520:20260615:2958,600520,2026-06-16,1000,1.2857032138,1.217,3.2116,29.22,30.17
002734:20260616:1639,002734,2026-06-17,0945,3.2356507111,0.6711,2.4184,16.28,16.68
002734:20260616:1639,002734,2026-06-17,1000,2.1213208704,0.6711,2.4184,16.28,16.68
002805:20260616:2420,002805,2026-06-17,0945,1.1149519805,3.9256,3.2486,23.25,24.03
002805:20260616:2420,002805,2026-06-17,1000,1.0830051928,3.9256,3.2486,23.25,24.03
603950:20260615:6549,603950,2026-06-17,0945,0.5004527385,1.8883,3.1845,61.31,63.3
603950:20260615:6549,603950,2026-06-17,1000,0.6852721646,1.8883,6.513,61.31,65.38
002428:20260615:10149,002428,2026-06-17,0945,0.8770608218,4.3478,3.1642,96.8,99.9
002428:20260615:10149,002428,2026-06-17,1000,0.8091944387,4.3478,3.2459,96.8,99.98
002729:20260616:1947,002729,2026-06-17,0945,2.4208564415,0.9759,3.0801,19.28,19.88
002729:20260616:1947,002729,2026-06-17,1000,1.8187549251,0.9759,3.0801,19.28,19.88
603629:20260615:16737,603629,2026-06-17,0945,0.68078659,2.2011,5.1963,159.51,167.98
603629:20260615:16737,603629,2026-06-17,1000,0.6295875104,2.3973,5.3926,159.19,167.98
600362:20260615:4736,600362,2026-06-17,0945,0.5504069724,1.7204,3.6809,45.7,47.43
600362:20260615:4736,600362,2026-06-17,1000,0.5469496238,1.7204,3.6809,45.7,47.43
603318:20260616:965,603318,2026-06-17,0945,2.8542445057,1.658,5.6237,9.49,10.04
603318:20260616:965,603318,2026-06-17,1000,2.8000423925,1.658,5.6237,9.49,10.04
000657:20260615:8690,000657,2026-06-17,0945,0.670007772,4.5405,2.6966,88.3,90.7
000657:20260615:8690,000657,2026-06-17,1000,0.7357037596,4.5405,2.6966,88.3,90.7
600563:20260615:15730,600563,2026-06-17,0945,0.5110716426,1.3548,2.674,166.01,170.51
600563:20260615:15730,600563,2026-06-17,1000,0.5696686983,1.3548,2.674,166.01,170.51
002910:20260616:1121,002910,2026-06-17,0945,1.3275510204,3.6574,4.7449,10.8,11.33
002910:20260616:1121,002910,2026-06-17,1000,1.2718897142,3.6574,5.103,10.8,11.37
002645:20260616:3363,002645,2026-06-17,0945,1.3012477152,1.6354,4.0316,33.08,34.46
002645:20260616:3363,002645,2026-06-17,1000,0.754410479,1.6354,4.0316,33.08,34.46
002440:20260615:998,002440,2026-06-17,0945,0.4806176427,1.8519,3.6534,9.54,9.89
002440:20260615:998,002440,2026-06-17,1000,0.8800347829,1.8519,7.9332,9.54,10.3
002931:20260616:7194,002931,2026-06-17,0945,1.5230148194,1.4456,3.786,70.9,73.66
002931:20260616:7194,002931,2026-06-17,1000,1.1237133025,2.6967,5.0206,70.0,73.66
603637:20260617:1827,603637,2026-06-18,0945,1.6533717849,0.0,4.6524,18.27,19.12
