checkpoint,feature,SUCCESS_ACTIVATED_N,FAILED_ACTIVATED_N,SUCCESS_FEATURE_N,FAILED_FEATURE_N,SUCCESS_mean,FAILED_mean,SUCCESS_median,FAILED_median,native_auc,direction,rank_biserial
09:45,breakout_hold_ratio,20,61,20,55,0.725,0.6272727272727273,1.0,1.0,0.5454545454545454,POSITIVE,0.09090909090909083
09:45,vwap_acceptance_ratio,20,61,20,55,0.775,0.6545454545454545,1.0,1.0,0.5763636363636364,POSITIVE,0.15272727272727282
09:45,retest_depth,20,61,20,55,0.00046884273986130267,-0.003331682321302678,-0.0014801231685725447,-0.005478087649402386,0.5427272727272727,POSITIVE,0.08545454545454545
09:45,false_break_duration,20,61,20,61,0.5,0.5737704918032787,0.0,0.0,0.48442622950819675,NEGATIVE,-0.031147540983606503
10:00,breakout_hold_ratio,24,71,23,66,0.7565217391304347,0.5098484848484849,1.0,0.55,0.6482213438735178,POSITIVE,0.29644268774703564
10:00,vwap_acceptance_ratio,24,71,23,66,0.8065217391304348,0.6217171717171717,1.0,0.6666666666666666,0.628129117259552,POSITIVE,0.256258234519104
10:00,retest_depth,24,71,23,66,-0.002589599102585397,-0.010346561581221428,-0.00722767165720184,-0.016763515359209336,0.6040843214756259,POSITIVE,0.2081686429512517
10:00,false_break_duration,24,71,24,71,1.0833333333333333,1.7887323943661972,0.0,1.0,0.3961267605633803,NEGATIVE,-0.20774647887323938
10:30,breakout_hold_ratio,27,81,26,80,0.8074300699300699,0.44320616883116876,1.0,0.2,0.7108173076923077,POSITIVE,0.42163461538461533
10:30,vwap_acceptance_ratio,27,81,26,80,0.766008991008991,0.6505929834054834,0.9090909090909091,0.7777777777777778,0.5697115384615384,POSITIVE,0.13942307692307687
10:30,retest_depth,27,81,26,80,-0.0036601026838879534,-0.016556600153171064,-0.008092855159105405,-0.019079165829233524,0.64375,POSITIVE,0.2875000000000001
10:30,false_break_duration,27,81,27,81,1.8518518518518519,4.716049382716049,0.0,5.0,0.3168724279835391,NEGATIVE,-0.3662551440329218
11:30,breakout_hold_ratio,31,88,31,88,0.7502745851623832,0.42177376744016687,1.0,0.1380952380952381,0.6893328445747801,POSITIVE,0.3786656891495601
11:30,vwap_acceptance_ratio,31,88,31,88,0.77429387251119,0.6372352587705657,0.8695652173913043,0.7238095238095238,0.5868768328445748,POSITIVE,0.17375366568914963
11:30,retest_depth,31,88,31,88,-0.005882589587303595,-0.020044310988495188,-0.009433962264150941,-0.019372038659243085,0.656891495601173,POSITIVE,0.313782991202346
11:30,false_break_duration,31,88,31,88,3.6129032258064515,10.556818181818182,0.0,9.5,0.29802052785923755,NEGATIVE,-0.4039589442815249
