checkpoint,SUCCESS_N,FAILED_N,SUCCESS_activated_N,SUCCESS_activated_rate,FAILED_activated_N,FAILED_activated_rate,rate_difference,or_value,or_ci_low,or_ci_high,binary_auc
09:45,43,103,20,0.46511627906976744,61,0.5922330097087378,-0.1271167306389704,0.5987170349251604,0.29241241869320866,1.225878468197565,0.4364416346805148
10:00,43,103,24,0.5581395348837209,71,0.6893203883495146,-0.13118085346579367,0.5693106004447739,0.2736975923569268,1.184206835682039,0.43440957326710317
10:30,43,103,27,0.627906976744186,81,0.7864077669902912,-0.1585007902461052,0.45833333333333337,0.2106394282961614,0.9972940305795194,0.4207496048769474
11:30,43,103,31,0.7209302325581395,88,0.8543689320388349,-0.13343869948069542,0.44034090909090917,0.18587992261133604,1.0431471753108161,0.4332806502596523
