episode_id,symbol,anchor_date,candidate_date,outcome_event_date,s1_price,current_outcome,s1_source,s1_source_sha,event_date_source,event_date_source_sha,asl_5m_status
603938:20260605:5282,603938,2026-06-05,2026-06-08,2026-06-10,56.78,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
601869:20260602:40874,601869,2026-06-02,2026-06-08,2026-06-10,487.1,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000833:20260608:2368,000833,2026-06-08,2026-06-09,2026-06-10,25.36,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
003030:20260601:2574,003030,2026-06-01,2026-06-09,2026-06-10,22.42,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002931:20260608:6560,002931,2026-06-08,2026-06-09,2026-06-10,70.68,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
003018:20260609:5468,003018,2026-06-09,2026-06-10,2026-06-11,58.0,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600110:20260609:1181,600110,2026-06-09,2026-06-10,2026-06-12,13.19,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603260:20260609:3933,603260,2026-06-09,2026-06-10,2026-06-11,41.8,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002129:20260609:981,002129,2026-06-09,2026-06-10,2026-06-12,10.61,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
000037:20260609:1139,000037,2026-06-09,2026-06-10,2026-06-11,11.73,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600641:20260609:2703,600641,2026-06-09,2026-06-10,2026-06-11,29.06,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002490:20260608:823,002490,2026-06-08,2026-06-10,2026-06-12,8.59,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
605111:20260609:6199,605111,2026-06-09,2026-06-11,2026-06-17,66.8,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600714:20260605:3290,600714,2026-06-05,2026-06-11,2026-06-12,30.81,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
600732:20260610:1207,600732,2026-06-10,2026-06-11,2026-06-12,13.26,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
003030:20260610:2342,003030,2026-06-10,2026-06-11,2026-06-15,25.23,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
603335:20260609:768,603335,2026-06-09,2026-06-11,2026-06-12,7.8,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002583:20260609:939,002583,2026-06-09,2026-06-11,2026-06-12,9.81,FAILED_BREAKOUT,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
002837:20260609:6972,002837,2026-06-09,2026-06-11,2026-06-16,72.69,SUCCESS,current_frozen_outcome,01a9f2fac6cab66686648b112c53eebf0526cee8a5c07559bdd3381578fa108d,legacy_frozen_case_set,b22eae1dd438ed1b4053ce2cfce7ce668010518462261cb724f149615894f4e6,NOT_AVAILABLE
