episode_id,symbol,event_date,outcome,checkpoint,activated,activation_time,acceptance_eligible,post_activation_bar_n,breakout_hold_ratio,vwap_acceptance_ratio,retest_depth,false_break_duration,dist_to_s1,high_vs_s1,vwap_distance,prev_close_state,open_gap,opening_drawdown,high_progression,cum_volume_relative_d1,missing_reasons
000037:20260609:1139,000037,2026-06-11,FAILED_BREAKOUT,09:45,True,2026-06-11 09:45:00,True,0,,,,0,-0.017902813299232823,0.0008525149190110604,0.018349004823311477,0.04253393665158356,-0.012669683257918618,0.0,1.0,1.0333995962346172,
000037:20260609:1139,000037,2026-06-11,FAILED_BREAKOUT,10:00,True,2026-06-11 09:45:00,True,3,0.0,1.0,-0.037510656436487766,3,-0.02813299232736577,0.0008525149190110604,0.004223886211522032,0.03167420814479627,-0.012669683257918618,0.0,0.9710391822827938,1.0660907594799751,
000037:20260609:1139,000037,2026-06-11,FAILED_BREAKOUT,10:30,True,2026-06-11 09:45:00,True,9,0.0,0.7777777777777778,-0.04092071611253201,9,-0.023870417732310356,0.0008525149190110604,0.00824608521114012,0.036199095022624306,-0.012669683257918618,0.0,0.9787052810902896,0.9956392940425239,
000037:20260609:1139,000037,2026-06-11,FAILED_BREAKOUT,11:30,True,2026-06-11 09:45:00,True,21,0.0,0.7142857142857143,-0.04092071611253201,21,-0.013640238704177299,0.0008525149190110604,0.014040413625738157,0.04705882352941182,-0.012669683257918618,0.0,0.985519591141397,1.145558272768489,
000050:20260617:914,000050,2026-06-22,FAILED_BREAKOUT,09:45,False,,False,0,,,,0,-0.01393354769560562,-0.012861736334405016,0.012455963095916678,0.029082774049216997,0.0011185682326622093,0.0,1.0,0.5032230071758358,
000050:20260617:914,000050,2026-06-22,FAILED_BREAKOUT,10:00,False,,False,0,,,,0,-0.01393354769560562,-0.009646302250803873,0.008622776926251019,0.029082774049216997,0.0011185682326622093,0.0,1.0,0.6136049778151172,
000050:20260617:914,000050,2026-06-22,FAILED_BREAKOUT,10:30,True,2026-06-22 10:10:00,True,4,1.0,1.0,-0.003215434083601254,0,0.007502679528403,0.018220793140407254,0.01774877457084756,0.05145413870246096,0.0011185682326622093,0.0,1.0,0.9347687694804926,
000050:20260617:914,000050,2026-06-22,FAILED_BREAKOUT,11:30,True,2026-06-22 10:10:00,True,16,0.5,0.75,-0.012861736334405016,8,0.0,0.018220793140407254,0.00861736095036858,0.043624161073825496,0.0011185682326622093,0.0,0.9831578947368421,0.9032144160261767,
000063:20260528:3830,000063,2026-06-05,SUCCESS,09:45,False,,False,0,,,,0,-0.008767405879319345,-0.007478081485301713,0.016487069690381606,0.01854795972443024,-0.004239533651298477,-0.014103246407663694,1.0,1.3485381790989843,
000063:20260528:3830,000063,2026-06-05,SUCCESS,10:00,True,2026-06-05 09:55:00,True,1,1.0,1.0,0.0077359463641051285,0,0.01469829809180001,0.017792676637441884,0.02332577725178897,0.042660307366189754,-0.004239533651298477,-0.014103246407663694,1.0,1.5189445654552844,
000063:20260528:3830,000063,2026-06-05,SUCCESS,10:30,True,2026-06-05 09:55:00,True,7,1.0,1.0,0.0077359463641051285,0,0.035843218153687406,0.03635894791129446,0.029325876057306743,0.06438791732909377,-0.004239533651298477,-0.014103246407663694,1.0,1.4510929258256475,
000063:20260528:3830,000063,2026-06-05,SUCCESS,11:30,True,2026-06-05 09:55:00,True,19,1.0,0.8947368421052632,0.0077359463641051285,0,0.04254770500257865,0.06498194945848357,0.022016110876945216,0.0712771595124535,-0.004239533651298477,-0.014103246407663694,0.9789346246973366,1.8455307981969573,
000070:20260615:1881,000070,2026-06-17,SUCCESS,09:45,False,,False,0,,,,0,-0.05986261040235519,-0.047105004906771164,-0.0007150075793890265,-0.016931759876859798,-0.025141097998973794,0.0,0.9953656024716785,0.3094303687885958,
000070:20260615:1881,000070,2026-06-17,SUCCESS,10:00,False,,False,0,,,,0,-0.0485770363101079,-0.04367026496565263,0.00805803867911803,-0.005130836326321053,-0.025141097998973794,0.0,1.0,0.38480903853183507,
000070:20260615:1881,000070,2026-06-17,SUCCESS,10:30,False,,False,0,,,,0,-0.046123650637880154,-0.03238469087340534,0.004513384980726398,-0.002565418163160471,-0.025141097998973794,0.0,0.988843813387424,0.5359934924133493,
000070:20260615:1881,000070,2026-06-17,SUCCESS,11:30,False,,False,0,,,,0,-0.01521099116781155,-0.0009813542688910104,0.02149916138335728,0.02975885069266293,-0.025141097998973794,0.0,0.9882121807465619,0.8535123905999149,
000593:20260615:2267,000593,2026-06-18,FAILED_BREAKOUT,09:45,True,2026-06-18 09:40:00,True,1,1.0,1.0,-0.009356725146198785,0,0.0011695906432749315,0.025341130604288553,0.009240139229083733,0.021073558648111446,-0.009145129224651938,-0.00882825040128421,0.9870722433460076,0.7578591125595388,
000593:20260615:2267,000593,2026-06-18,FAILED_BREAKOUT,10:00,True,2026-06-18 09:40:00,True,4,0.5,1.0,-0.009356725146198785,1,-0.001559454191033094,0.025341130604288553,0.004203174644376473,0.01829025844930432,-0.009145129224651938,-0.00882825040128421,0.9809885931558935,0.6584023158613735,
000593:20260615:2267,000593,2026-06-18,FAILED_BREAKOUT,10:30,True,2026-06-18 09:40:00,True,10,0.5,1.0,-0.009356725146198785,2,0.004678362573099504,0.025341130604288553,0.009091651338989148,0.024652087475149242,-0.009145129224651938,-0.00882825040128421,0.9798479087452471,0.6482562854825629,
000593:20260615:2267,000593,2026-06-18,FAILED_BREAKOUT,11:30,True,2026-06-18 09:40:00,True,22,0.5,0.7727272727272727,-0.013645224171539905,5,-0.007017543859649145,0.025341130604288553,-0.003172010123286717,0.012723658051689846,-0.009145129224651938,-0.00882825040128421,0.9684410646387832,0.6022412239664553,
000657:20260615:8690,000657,2026-06-18,FAILED_BREAKOUT,09:45,False,,False,0,,,,0,-0.021032504780114758,-0.014234119396643319,0.01623152769834535,0.029375628281023136,-0.008712163520607663,0.0,1.0,0.7471769731876571,
000657:20260615:8690,000657,2026-06-18,FAILED_BREAKOUT,10:00,False,,False,0,,,,0,-0.0020182706607180245,-0.0014871468026343981,0.025462187634653466,0.0493689266167765,-0.008712163520607663,0.0,1.0,0.8568281882301473,
000657:20260615:8690,000657,2026-06-18,FAILED_BREAKOUT,10:30,True,2026-06-18 10:05:00,True,5,0.0,0.8,-0.02538772041640114,5,-0.009985128531973642,0.007966857871255506,0.013107740623754971,0.040991846308499946,-0.008712163520607663,0.0,0.9821899040994836,0.8563449193092995,
000657:20260615:8690,000657,2026-06-18,FAILED_BREAKOUT,11:30,True,2026-06-18 10:05:00,True,17,0.0,0.6470588235294118,-0.03441682600382401,17,-0.022307202039515528,0.007966857871255506,4.951355843108018e-07,0.028035295431698914,-0.008712163520607663,0.0,0.9724944672779008,0.8322185754839079,
000670:20260604:967,000670,2026-06-09,SUCCESS,09:45,False,,False,0,,,,0,-0.04858299595141702,-0.0030364372469636747,-0.015049225855515158,0.02957283680175249,0.07119386637458902,-0.04601226993865026,0.9675126903553299,1.6885372387926416,
000670:20260604:967,000670,2026-06-09,SUCCESS,10:00,False,,False,0,,,,0,-0.07287449392712553,-0.0030364372469636747,-0.033141657864192764,0.003285870755750153,0.07119386637458902,-0.07055214723926373,0.9340101522842639,1.7422157452308964,
000670:20260604:967,000670,2026-06-09,SUCCESS,10:30,False,,False,0,,,,0,-0.05668016194331993,-0.0030364372469636747,-0.011681215675663492,0.020810514786418377,0.07119386637458902,-0.07055214723926373,0.952284263959391,1.6608006063437857,
000670:20260604:967,000670,2026-06-09,SUCCESS,11:30,False,,False,0,,,,0,-0.06477732793522273,-0.0030364372469636747,-0.017831126596529745,0.012048192771084265,0.07119386637458902,-0.07055214723926373,0.9380710659898478,1.5508005443875208,
000756:20260629:1359,000756,2026-07-01,FAILED_BREAKOUT,09:45,False,,False,0,,,,0,-0.07780784844384292,-0.05818673883626524,-0.004998456285703723,-0.038108680310515064,-0.020465772759350687,-0.02377521613832856,0.9913793103448276,0.54363951675192,
000756:20260629:1359,000756,2026-07-01,FAILED_BREAKOUT,10:00,False,,False,0,,,,0,-0.07307171853856564,-0.05818673883626524,0.000755742602564391,-0.03316866619618919,-0.020465772759350687,-0.02377521613832856,0.9870689655172414,0.5456384518639804,
000756:20260629:1359,000756,2026-07-01,FAILED_BREAKOUT,10:30,False,,False,0,,,,0,-0.05412719891745599,-0.05412719891745599,0.018366528703299467,-0.013408609738884913,-0.020465772759350687,-0.02377521613832856,1.0,0.6187015260187709,
000756:20260629:1359,000756,2026-07-01,FAILED_BREAKOUT,11:30,False,,False,0,,,,0,-0.02097428958051417,-0.018944519621109546,0.0350312162143529,0.02117148906139743,-0.020465772759350687,-0.02377521613832856,0.9986206896551725,0.9237831040723213,
000811:20260615:3385,000811,2026-06-17,FAILED_BREAKOUT,09:45,True,2026-06-17 09:35:00,True,2,1.0,0.0,0.01783723522853964,0,0.01783723522853964,0.01783723522853964,-3.78866335060124e-06,0.10000000000000009,0.10000000000000009,0.0,1.0,0.4770076186923397,
000811:20260615:3385,000811,2026-06-17,FAILED_BREAKOUT,10:00,True,2026-06-17 09:35:00,True,5,1.0,0.0,0.01783723522853964,0,0.01783723522853964,0.01783723522853964,-2.190220374953533e-06,0.10000000000000009,0.10000000000000009,0.0,1.0,0.36570383025394415,
000811:20260615:3385,000811,2026-06-17,FAILED_BREAKOUT,10:30,True,2026-06-17 09:35:00,True,11,1.0,0.0,0.01783723522853964,0,0.01783723522853964,0.01783723522853964,-2.084028457360887e-06,0.10000000000000009,0.10000000000000009,0.0,1.0,0.30603641921140695,
000811:20260615:3385,000811,2026-06-17,FAILED_BREAKOUT,11:30,True,2026-06-17 09:35:00,True,23,1.0,0.0,0.01783723522853964,0,0.01783723522853964,0.01783723522853964,-1.7289974977297007e-06,0.10000000000000009,0.10000000000000009,0.0,1.0,0.2914031171536321,
000815:20260610:1687,000815,2026-06-16,FAILED_BREAKOUT,09:45,False,,False,0,,,,0,-0.026123936816524918,-0.0236938031591738,0.009355666561094322,0.0012492192379762734,0.0031230480949404615,-0.02241594022415938,0.9975108898568762,0.7858564509026861,
000815:20260610:1687,000815,2026-06-16,FAILED_BREAKOUT,10:00,False,,False,0,,,,0,-0.018226002430133725,-0.01640340218712022,0.012993291803631735,0.009369144284821829,0.0031230480949404615,-0.02241594022415938,1.0,0.8960384647991377,
000815:20260610:1687,000815,2026-06-16,FAILED_BREAKOUT,10:30,False,,False,0,,,,0,-0.008505467800729027,-0.006682867557715633,0.015999052383621315,0.019362898188632016,0.0031230480949404615,-0.02241594022415938,0.9993883792048929,1.060915993481954,
000815:20260610:1687,000815,2026-06-16,FAILED_BREAKOUT,11:30,True,2026-06-16 11:25:00,True,1,0.0,1.0,-0.0036452004860269005,1,-0.002430133657351119,0.0012150668286754485,0.01649037643593232,0.025608994378513383,0.0031230480949404615,-0.02241594022415938,0.9969660194174756,1.160384472272621,
000833:20260608:2368,000833,2026-06-10,FAILED_BREAKOUT,09:45,True,2026-06-10 09:35:00,True,2,1.0,0.5,0.0011829652996846463,0,0.003154574132492094,0.04258675078864371,-0.007611576796496378,0.03709743171626578,-0.005299633102323842,-0.0036885245901638886,0.9757942511346445,0.8419513015738513,
000833:20260608:2368,000833,2026-06-10,FAILED_BREAKOUT,10:00,True,2026-06-10 09:35:00,True,5,0.6,0.4,-0.019321766561514186,2,0.007097791798107211,0.04258675078864371,0.000565223415356586,0.04117407256420691,-0.005299633102323842,-0.0036885245901638886,0.9659606656580937,0.8024913463290216,
000833:20260608:2368,000833,2026-06-10,FAILED_BREAKOUT,10:30,True,2026-06-10 09:35:00,True,11,0.8181818181818182,0.36363636363636365,-0.019321766561514186,2,0.0023659305993690705,0.04258675078864371,-0.006929973696231162,0.0362821035466776,-0.005299633102323842,-0.0036885245901638886,0.966338880484115,0.8350016246187386,
000833:20260608:2368,000833,2026-06-10,FAILED_BREAKOUT,11:30,True,2026-06-10 09:35:00,True,23,0.9130434782608695,0.5217391304347826,-0.019321766561514186,2,0.016167192429022093,0.04258675078864371,0.00644159132810751,0.0505503465144721,-0.005299633102323842,-0.0036885245901638886,0.9754160363086232,0.8394503202946068,
000876:20260701:690,000876,2026-07-07,SUCCESS,09:45,False,,False,0,,,,0,-0.027063599458727938,-0.008119079837618393,-0.004053762386931448,-0.013717421124828433,-0.017832647462277085,-0.008379888268156499,0.9863574351978173,1.209786187472728,
000876:20260701:690,000876,2026-07-07,SUCCESS,10:00,False,,False,0,,,,0,-0.02841677943166443,-0.008119079837618393,-0.003787215812879441,-0.015089163237311465,-0.017832647462277085,-0.008379888268156499,0.9836289222373806,1.1944284407089842,
000876:20260701:690,000876,2026-07-07,SUCCESS,10:30,False,,False,0,,,,0,-0.02976995940460081,-0.008119079837618393,-0.004816893838252678,-0.016460905349794275,-0.017832647462277085,-0.008379888268156499,0.9809004092769441,0.7655881790377362,
000876:20260701:690,000876,2026-07-07,SUCCESS,11:30,False,,False,0,,,,0,-0.03112313937753719,-0.008119079837618393,-0.005261349919746583,-0.017832647462277085,-0.017832647462277085,-0.008379888268156499,0.9795361527967258,0.6778381106624661,
000892:20260706:376,000892,2026-07-29,FAILED_BREAKOUT,09:45,True,2026-07-29 09:35:00,True,2,1.0,1.0,0.03235294117647047,0,0.03235294117647047,0.03235294117647047,0.009818794427984612,0.10031347962382431,0.0658307210031348,-0.026470588235294024,1.0,2.7280645309555545,
000892:20260706:376,000892,2026-07-29,FAILED_BREAKOUT,10:00,True,2026-07-29 09:35:00,True,5,1.0,1.0,0.03235294117647047,0,0.03235294117647047,0.03235294117647047,0.008848090405567,0.10031347962382431,0.0658307210031348,-0.026470588235294024,1.0,1.7224144174013951,
000892:20260706:376,000892,2026-07-29,FAILED_BREAKOUT,10:30,True,2026-07-29 09:35:00,True,11,1.0,1.0,0.03235294117647047,0,0.03235294117647047,0.03235294117647047,0.0080325124367302,0.10031347962382431,0.0658307210031348,-0.026470588235294024,1.0,1.2409630640767162,
000892:20260706:376,000892,2026-07-29,FAILED_BREAKOUT,11:30,True,2026-07-29 09:35:00,True,23,1.0,1.0,0.03235294117647047,0,0.03235294117647047,0.03235294117647047,0.00770555089444902,0.10031347962382431,0.0658307210031348,-0.026470588235294024,1.0,1.0527508752679273,
000938:20260630:2886,000938,2026-07-03,FAILED_BREAKOUT,09:45,True,2026-07-03 09:35:00,True,2,1.0,1.0,0.003607740242702606,0,0.026566087241718606,0.036077402427025396,0.008079358637314682,0.07819497071994497,0.05063727178780564,-0.0029508196721311775,1.0,1.930467876939928,
000938:20260630:2886,000938,2026-07-03,FAILED_BREAKOUT,10:00,True,2026-07-03 09:35:00,True,5,1.0,0.4,-0.003607740242702495,0,0.016398819285011523,0.036077402427025396,-0.0003090034793443719,0.06751636238374092,0.05063727178780564,-0.003934426229508237,0.9822728711617601,1.7923188989801928,
000938:20260630:2886,000938,2026-07-03,FAILED_BREAKOUT,10:30,True,2026-07-03 09:35:00,True,11,1.0,0.2727272727272727,-0.003607740242702495,0,0.0013119055428010284,0.036077402427025396,-0.014298370930568405,0.05167068549776088,0.05063727178780564,-0.003934426229508237,0.9743589743589745,1.3777007654187197,
