episode_id,symbol,anchor_date,candidate_date,outcome_3d,outcome_event_date,legacy_event_mapping_status,asl_5m_coverage_status,eligible_r8,missing_reason,s1_price,s1_source,s1_source_sha,event_date_source,event_date_source_sha
002075:20240705:420,002075,2024-07-05,2024-07-08,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002979:20240704:1978,002979,2024-07-04,2024-07-08,UNKNOWN,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600693:20240703:325,600693,2024-07-03,2024-07-08,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603058:20240705:880,603058,2024-07-05,2024-07-08,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000890:20240705:270,000890,2024-07-05,2024-07-08,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
001208:20240705:805,001208,2024-07-05,2024-07-08,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002995:20240705:1423,002995,2024-07-05,2024-07-08,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002853:20240705:876,002853,2024-07-05,2024-07-08,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000813:20240705:242,000813,2024-07-05,2024-07-08,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603991:20240705:3219,603991,2024-07-05,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002420:20240705:531,002420,2024-07-05,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
003005:20240705:2451,003005,2024-07-05,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
001217:20240708:1005,001217,2024-07-08,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
605399:20240708:1161,605399,2024-07-08,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002321:20240708:164,002321,2024-07-08,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002016:20240708:639,002016,2024-07-08,2024-07-09,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002165:20240705:375,002165,2024-07-05,2024-07-09,FAILED_BREAKOUT,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002364:20240708:593,002364,2024-07-08,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002332:20240705:1172,002332,2024-07-05,2024-07-09,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002846:20240708:772,002846,2024-07-08,2024-07-09,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603826:20240703:3013,603826,2024-07-03,2024-07-10,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603929:20240709:2522,603929,2024-07-09,2024-07-10,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
601616:20240709:300,601616,2024-07-09,2024-07-10,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
605277:20240709:1337,605277,2024-07-09,2024-07-10,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002045:20240709:1338,002045,2024-07-09,2024-07-10,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002456:20240709:824,002456,2024-07-09,2024-07-10,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600420:20240709:1170,600420,2024-07-09,2024-07-10,FAILED_BREAKOUT,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
001696:20240709:1044,001696,2024-07-09,2024-07-10,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002861:20240709:926,002861,2024-07-09,2024-07-10,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
001360:20240709:1263,001360,2024-07-09,2024-07-10,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002429:20240709:471,002429,2024-07-09,2024-07-10,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603516:20240709:3258,603516,2024-07-09,2024-07-10,FAILED_BREAKOUT,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603286:20240710:1650,603286,2024-07-10,2024-07-11,FAILED_BREAKOUT,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002852:20240710:798,002852,2024-07-10,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002232:20240710:1308,002232,2024-07-10,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600664:20240710:290,600664,2024-07-10,2024-07-11,FAILED_BREAKOUT,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603197:20240710:3433,603197,2024-07-10,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002584:20240709:594,002584,2024-07-09,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002813:20240710:2836,002813,2024-07-10,2024-07-11,UNKNOWN,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
605188:20240710:790,605188,2024-07-10,2024-07-11,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600676:20240710:308,600676,2024-07-10,2024-07-11,FAILED_BREAKOUT,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002855:20240709:1992,002855,2024-07-09,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603221:20240710:945,603221,2024-07-10,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002388:20240709:319,002388,2024-07-09,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002766:20240710:490,002766,2024-07-10,2024-07-11,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002888:20240709:1311,002888,2024-07-09,2024-07-11,UNKNOWN,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
605208:20240710:663,605208,2024-07-10,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002906:20240710:2891,002906,2024-07-10,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
605068:20240709:1469,605068,2024-07-09,2024-07-11,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603005:20240709:2076,603005,2024-07-09,2024-07-11,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603882:20240710:2751,603882,2024-07-10,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002756:20240711:3610,002756,2024-07-11,2024-07-12,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002935:20240711:1245,002935,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002992:20240711:5948,002992,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
605136:20240711:570,605136,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002240:20240711:1393,002240,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600335:20240711:618,600335,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002806:20240710:911,002806,2024-07-10,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600067:20240711:180,600067,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002015:20240711:799,002015,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000757:20240711:257,000757,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002897:20240711:4056,002897,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603127:20240711:1371,603127,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002418:20240711:171,002418,2024-07-11,2024-07-12,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603699:20240711:1782,603699,2024-07-11,2024-07-12,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603871:20240710:1892,603871,2024-07-10,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002836:20240711:607,002836,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002036:20240710:727,002036,2024-07-10,2024-07-12,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000700:20240711:578,000700,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000797:20240711:249,000797,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603776:20240710:1099,603776,2024-07-10,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600691:20240711:168,600691,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000953:20240711:254,000953,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002192:20240711:3139,002192,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603337:20240711:2796,603337,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600812:20240711:455,600812,2024-07-11,2024-07-12,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
600854:20240711:393,600854,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000688:20240711:1036,000688,2024-07-11,2024-07-12,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
001239:20240711:1394,001239,2024-07-11,2024-07-12,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002729:20240711:948,002729,2024-07-11,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603075:20240711:1898,603075,2024-07-11,2024-07-15,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603389:20240712:521,603389,2024-07-12,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000785:20240711:249,000785,2024-07-11,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002837:20240712:2454,002837,2024-07-12,2024-07-15,NO_LAUNCH,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000663:20240712:453,000663,2024-07-12,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002811:20240712:717,002811,2024-07-12,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
603800:20240711:1925,603800,2024-07-11,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
002524:20240711:325,002524,2024-07-11,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
000737:20240711:1057,000737,2024-07-11,2024-07-15,STRUCTURE_FAIL,,NOT_IN_LEGACY_EVENT_SET,NOT_AVAILABLE,False,,,,,,
