feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
ma10_ma20_spread_pct,FAILED_BREAKOUT,409,950,0.869,-1.2614,3.1769,0.9968,-1.3453,3.3495,-0.1278,0.0063,-0.5074,0.3589
ma10_ma20_spread_pct,NO_LAUNCH,409,1730,0.869,-1.2614,3.1769,1.0221,-1.6079,3.0809,-0.1531,-0.0206,-0.5284,0.3446
ma10_ma20_spread_pct,STRUCTURE_FAIL,409,5415,0.869,-1.2614,3.1769,1.132,-1.6217,3.8154,-0.263,0.0213,-0.5829,0.224
ma10_ma20_spread_pct,ALL_CONTROL,409,8095,0.869,-1.2614,3.1769,1.0781,-1.5912,3.58,-0.2091,0.0106,-0.5593,0.2366
ma_reclaim_count,FAILED_BREAKOUT,409,950,5.0,3.0,5.0,5.0,4.0,5.0,0.0,-0.0156,0.0,0.0
ma_reclaim_count,NO_LAUNCH,409,1730,5.0,3.0,5.0,5.0,3.0,5.0,0.0,-0.0797,0.0,1.0
ma_reclaim_count,STRUCTURE_FAIL,409,5415,5.0,3.0,5.0,5.0,4.0,5.0,0.0,0.1793,0.0,0.0
ma_reclaim_count,ALL_CONTROL,409,8095,5.0,3.0,5.0,5.0,4.0,5.0,0.0,0.1486,0.0,0.0
dist_to_s1_pct,FAILED_BREAKOUT,409,950,-5.8493,-7.6353,-4.3424,-5.53,-7.1385,-4.3114,-0.3193,0.0572,-0.6732,0.0184
dist_to_s1_pct,NO_LAUNCH,409,1730,-5.8493,-7.6353,-4.3424,-8.3574,-11.5071,-6.08,2.5081,-0.449,2.1287,2.8465
dist_to_s1_pct,STRUCTURE_FAIL,409,5415,-5.8493,-7.6353,-4.3424,-7.8488,-10.7285,-5.9041,1.9995,-0.3926,1.655,2.269
dist_to_s1_pct,ALL_CONTROL,409,8095,-5.8493,-7.6353,-4.3424,-7.5975,-10.5213,-5.6336,1.7482,-0.3519,1.4362,2.047
dist_to_invalid_pct,FAILED_BREAKOUT,409,950,3.3019,2.2549,4.6422,3.4855,2.3236,4.8472,-0.1836,0.0376,-0.4148,0.0972
dist_to_invalid_pct,NO_LAUNCH,409,1730,3.3019,2.2549,4.6422,4.1226,2.8986,5.8802,-0.8207,0.233,-1.0349,-0.582
dist_to_invalid_pct,STRUCTURE_FAIL,409,5415,3.3019,2.2549,4.6422,2.2242,1.3676,3.3708,1.0777,-0.3568,0.8912,1.3145
dist_to_invalid_pct,ALL_CONTROL,409,8095,3.3019,2.2549,4.6422,2.716,1.6326,4.1222,0.5859,-0.1845,0.4077,0.7712
reward_room,FAILED_BREAKOUT,409,950,1.9048,1.2,3.1667,1.7959,1.1684,2.9427,0.1089,-0.0452,-0.071,0.2965
reward_room,NO_LAUNCH,409,1730,1.9048,1.2,3.1667,2.2572,1.3759,3.75,-0.3524,0.1136,-0.5472,-0.1577
reward_room,STRUCTURE_FAIL,409,5415,1.9048,1.2,3.1667,4.0833,2.4074,7.3416,-2.1785,0.5101,-2.3752,-1.9548
reward_room,ALL_CONTROL,409,8095,1.9048,1.2,3.1667,3.2727,1.8554,6.0173,-1.3679,0.3602,-1.5262,-1.1752
probe_count_3d,FAILED_BREAKOUT,409,950,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.2687,0.0,1.0
probe_count_3d,NO_LAUNCH,409,1730,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.3005,0.0,1.0
probe_count_3d,STRUCTURE_FAIL,409,5415,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.2219,0.0,1.0
probe_count_3d,ALL_CONTROL,409,8095,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.2636,0.0,1.0
probe_count_since_anchor,FAILED_BREAKOUT,409,950,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2658,0.0,1.0
probe_count_since_anchor,NO_LAUNCH,409,1730,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2726,0.0,1.0
probe_count_since_anchor,STRUCTURE_FAIL,409,5415,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.1864,0.0,1.0
probe_count_since_anchor,ALL_CONTROL,409,8095,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.2445,0.0,1.0
closest_high_to_s1_pct,FAILED_BREAKOUT,409,950,-12.4418,-15.7643,-9.6786,-12.9445,-15.8572,-10.2239,0.5027,-0.0416,-0.2878,1.2892
closest_high_to_s1_pct,NO_LAUNCH,409,1730,-12.4418,-15.7643,-9.6786,-14.2421,-18.1428,-11.0765,1.8003,-0.1998,1.0067,2.4954
closest_high_to_s1_pct,STRUCTURE_FAIL,409,5415,-12.4418,-15.7643,-9.6786,-14.7439,-18.5255,-11.4019,2.3021,-0.243,1.5175,2.8777
closest_high_to_s1_pct,ALL_CONTROL,409,8095,-12.4418,-15.7643,-9.6786,-14.4144,-18.0871,-11.1847,1.9726,-0.2101,1.1089,2.7707
upper_shadow_rejection_count,FAILED_BREAKOUT,409,950,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.1266,0.0,0.0
upper_shadow_rejection_count,NO_LAUNCH,409,1730,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.0175,0.0,0.0
upper_shadow_rejection_count,STRUCTURE_FAIL,409,5415,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.058,0.0,0.0
upper_shadow_rejection_count,ALL_CONTROL,409,8095,1.0,1.0,2.0,1.0,1.0,2.0,0.0,-0.122,0.0,0.0
d0_body_pct,FAILED_BREAKOUT,409,950,0.4184,-1.0417,2.0678,0.7407,-0.7435,2.3739,-0.3223,0.0776,-0.6297,-0.0067
d0_body_pct,NO_LAUNCH,409,1730,0.4184,-1.0417,2.0678,0.0,-1.5842,1.389,0.4184,-0.1279,0.1498,0.7676
d0_body_pct,STRUCTURE_FAIL,409,5415,0.4184,-1.0417,2.0678,0.3003,-1.6071,2.0119,0.1181,-0.0579,-0.1206,0.4122
d0_body_pct,ALL_CONTROL,409,8095,0.4184,-1.0417,2.0678,0.2878,-1.5189,1.9344,0.1306,-0.0569,-0.0999,0.4168
d0_range_pct,FAILED_BREAKOUT,409,950,4.8585,3.6066,6.3543,5.2437,3.8967,7.0082,-0.3852,0.1206,-0.7139,-0.1025
d0_range_pct,NO_LAUNCH,409,1730,4.8585,3.6066,6.3543,4.878,3.6313,6.7855,-0.0195,0.0288,-0.332,0.2177
d0_range_pct,STRUCTURE_FAIL,409,5415,4.8585,3.6066,6.3543,5.8477,4.391,7.8659,-0.9892,0.2544,-1.3066,-0.763
d0_range_pct,ALL_CONTROL,409,8095,4.8585,3.6066,6.3543,5.5639,4.1363,7.567,-0.7054,0.1905,-0.9733,-0.5144
d0_upper_shadow_pct,FAILED_BREAKOUT,409,950,1.3438,0.6318,2.3217,1.6784,0.8427,2.765,-0.3346,0.1321,-0.5364,-0.1578
d0_upper_shadow_pct,NO_LAUNCH,409,1730,1.3438,0.6318,2.3217,1.569,0.7751,2.7241,-0.2252,0.0953,-0.3893,-0.0473
d0_upper_shadow_pct,STRUCTURE_FAIL,409,5415,1.3438,0.6318,2.3217,1.9565,0.961,3.3222,-0.6127,0.2253,-0.7799,-0.4718
d0_upper_shadow_pct,ALL_CONTROL,409,8095,1.3438,0.6318,2.3217,1.8333,0.8998,3.1443,-0.4895,0.1858,-0.6507,-0.343
d0_lower_shadow_pct,FAILED_BREAKOUT,409,950,1.3393,0.6141,2.2628,1.5063,0.784,2.5748,-0.167,0.0878,-0.3665,0.0112
d0_lower_shadow_pct,NO_LAUNCH,409,1730,1.3393,0.6141,2.2628,1.2384,0.6252,2.0779,0.1009,-0.0353,-0.0688,0.2549
d0_lower_shadow_pct,STRUCTURE_FAIL,409,5415,1.3393,0.6141,2.2628,1.4472,0.7143,2.3602,-0.1079,0.049,-0.2449,0.0246
d0_lower_shadow_pct,ALL_CONTROL,409,8095,1.3393,0.6141,2.2628,1.4141,0.7,2.3109,-0.0748,0.0337,-0.2263,0.0753
d0_close_location,FAILED_BREAKOUT,409,950,0.557,0.296,0.75,0.5635,0.3772,0.736,-0.0065,0.0282,-0.0561,0.0463
d0_close_location,NO_LAUNCH,409,1728,0.557,0.296,0.75,0.444,0.2545,0.633,0.113,-0.182,0.0635,0.157
d0_close_location,STRUCTURE_FAIL,409,5405,0.557,0.296,0.75,0.462,0.263,0.653,0.095,-0.1547,0.0539,0.1385
d0_close_location,ALL_CONTROL,409,8083,0.557,0.296,0.75,0.471,0.2745,0.661,0.086,-0.139,0.0395,0.1305
d0_gap_pct,FAILED_BREAKOUT,409,950,0.0,-0.8969,0.7782,-0.0257,-1.0985,0.9735,0.0257,-0.0164,-0.0677,0.1754
d0_gap_pct,NO_LAUNCH,409,1730,0.0,-0.8969,0.7782,-0.0772,-1.1542,0.7257,0.0772,-0.0519,-0.0618,0.1908
d0_gap_pct,STRUCTURE_FAIL,409,5415,0.0,-0.8969,0.7782,-0.0369,-1.2589,0.8049,0.0369,-0.0558,-0.0532,0.0999
d0_gap_pct,ALL_CONTROL,409,8095,0.0,-0.8969,0.7782,-0.0512,-1.2166,0.8107,0.0512,-0.0551,-0.0483,0.0986
d0_daily_return,FAILED_BREAKOUT,409,950,0.3214,-1.4733,2.2472,0.5674,-1.0645,2.8445,-0.246,0.064,-0.6429,0.1774
d0_daily_return,NO_LAUNCH,409,1730,0.3214,-1.4733,2.2472,-0.5097,-2.1457,1.8079,0.8311,-0.1456,0.5495,1.2117
d0_daily_return,STRUCTURE_FAIL,409,5415,0.3214,-1.4733,2.2472,0.2692,-2.003,2.1188,0.0522,-0.058,-0.2309,0.3779
d0_daily_return,ALL_CONTROL,409,8095,0.3214,-1.4733,2.2472,0.1484,-1.9467,2.1648,0.173,-0.0624,-0.0673,0.5135
d1_body_pct,FAILED_BREAKOUT,409,950,-1.7329,-3.7467,9.3617,5.2118,-3.3923,9.7678,-6.9447,0.1029,-8.4274,-4.9625
d1_body_pct,NO_LAUNCH,409,1730,-1.7329,-3.7467,9.3617,-0.9333,-4.0898,9.1924,-0.7996,-0.0051,-2.5371,0.444
d1_body_pct,STRUCTURE_FAIL,409,5415,-1.7329,-3.7467,9.3617,0.7067,-4.0732,9.4874,-2.4396,0.0274,-3.8971,-0.615
d1_body_pct,ALL_CONTROL,409,8095,-1.7329,-3.7467,9.3617,1.1601,-3.9834,9.4644,-2.893,0.0294,-3.984,-0.9776
d1_range_pct,FAILED_BREAKOUT,409,950,7.9263,5.6417,10.173,8.8929,6.4716,10.5453,-0.9666,0.1285,-1.5613,-0.2922
d1_range_pct,NO_LAUNCH,409,1730,7.9263,5.6417,10.173,8.1749,5.612,10.2626,-0.2486,0.016,-0.7999,0.3243
d1_range_pct,STRUCTURE_FAIL,409,5415,7.9263,5.6417,10.173,8.8282,6.3477,10.6176,-0.9019,0.1197,-1.4534,-0.3255
d1_range_pct,ALL_CONTROL,409,8095,7.9263,5.6417,10.173,8.7332,6.1931,10.5457,-0.8069,0.0986,-1.2451,-0.2396
d1_upper_shadow_pct,FAILED_BREAKOUT,409,950,0.0,0.0,1.7544,0.0,0.0,1.5455,0.0,-0.2844,0.0,0.2463
d1_upper_shadow_pct,NO_LAUNCH,409,1730,0.0,0.0,1.7544,0.0,0.0,1.3013,0.0,-0.2717,0.0,0.2667
d1_upper_shadow_pct,STRUCTURE_FAIL,409,5415,0.0,0.0,1.7544,0.0,0.0,1.4838,0.0,-0.2344,0.0,0.2544
d1_upper_shadow_pct,ALL_CONTROL,409,8095,0.0,0.0,1.7544,0.0,0.0,1.453,0.0,-0.199,0.0,0.2364
d1_lower_shadow_pct,FAILED_BREAKOUT,409,950,0.6116,0.2681,1.0753,0.6362,0.1877,1.2369,-0.0246,0.0134,-0.1386,0.0932
d1_lower_shadow_pct,NO_LAUNCH,409,1730,0.6116,0.2681,1.0753,0.5968,0.1633,1.1987,0.0149,-0.0209,-0.1008,0.1235
d1_lower_shadow_pct,STRUCTURE_FAIL,409,5415,0.6116,0.2681,1.0753,0.7051,0.2389,1.3777,-0.0935,0.0569,-0.1996,0.0105
d1_lower_shadow_pct,ALL_CONTROL,409,8095,0.6116,0.2681,1.0753,0.6723,0.2174,1.323,-0.0607,0.037,-0.1572,0.0415
d1_close_location,FAILED_BREAKOUT,409,950,0.271,0.094,1.0,1.0,0.1373,1.0,-0.729,0.1054,-0.757,-0.5126
d1_close_location,NO_LAUNCH,409,1730,0.271,0.094,1.0,0.356,0.1103,1.0,-0.085,0.0022,-0.2603,0.0123
d1_close_location,STRUCTURE_FAIL,409,5414,0.271,0.094,1.0,0.6395,0.117,1.0,-0.3685,0.1462,-0.555,-0.1167
d1_close_location,ALL_CONTROL,409,8094,0.271,0.094,1.0,0.6425,0.118,1.0,-0.3715,0.1851,-0.4953,-0.1507
d1_gap_pct,FAILED_BREAKOUT,409,950,0.4082,-0.3868,2.208,0.588,-0.1556,2.147,-0.1798,0.0494,-0.5224,0.1005
d1_gap_pct,NO_LAUNCH,409,1730,0.4082,-0.3868,2.208,0.3419,-0.4233,2.1845,0.0663,-0.0044,-0.2559,0.3754
d1_gap_pct,STRUCTURE_FAIL,409,5415,0.4082,-0.3868,2.208,0.5556,-0.2626,2.6107,-0.1474,0.063,-0.4349,0.0986
d1_gap_pct,ALL_CONTROL,409,8095,0.4082,-0.3868,2.208,0.5168,-0.2811,2.4262,-0.1086,0.0384,-0.4101,0.1487
d1_daily_return,FAILED_BREAKOUT,409,950,-0.0693,-3.1344,9.9955,9.9108,-2.0983,10.0,-9.9801,0.1347,-10.6262,-6.3699
d1_daily_return,NO_LAUNCH,409,1730,-0.0693,-3.1344,9.9955,1.7395,-3.5207,10.0,-1.8088,0.0227,-3.2406,1.1175
d1_daily_return,STRUCTURE_FAIL,409,5415,-0.0693,-3.1344,9.9955,3.9712,-2.8923,10.0,-4.0405,0.0742,-6.0449,-1.2813
d1_daily_return,ALL_CONTROL,409,8095,-0.0693,-3.1344,9.9955,3.9234,-2.9461,10.0,-3.9927,0.07,-5.573,-1.6409
d2_body_pct,FAILED_BREAKOUT,409,950,4.1429,-1.0494,9.6085,1.9173,-1.4221,9.0342,2.2256,-0.0812,0.4164,4.1133
d2_body_pct,NO_LAUNCH,409,1730,4.1429,-1.0494,9.6085,2.3769,-1.1976,9.2927,1.766,-0.0578,0.0852,3.5013
d2_body_pct,STRUCTURE_FAIL,409,5415,4.1429,-1.0494,9.6085,3.0,-1.0453,9.4349,1.1429,-0.0252,-0.3374,3.0617
d2_body_pct,ALL_CONTROL,409,8095,4.1429,-1.0494,9.6085,2.6667,-1.1146,9.3656,1.4762,-0.0387,-0.0812,3.1981
d2_range_pct,FAILED_BREAKOUT,409,950,7.8307,4.3912,10.153,7.1443,4.0577,10.012,0.6864,-0.0477,0.0507,1.5369
d2_range_pct,NO_LAUNCH,409,1730,7.8307,4.3912,10.153,7.1394,3.8466,10.1333,0.6913,-0.0511,0.1313,1.3285
d2_range_pct,STRUCTURE_FAIL,409,5415,7.8307,4.3912,10.153,7.5,4.3136,10.3228,0.3307,0.0012,-0.0931,0.9759
d2_range_pct,ALL_CONTROL,409,8095,7.8307,4.3912,10.153,7.3719,4.1886,10.2435,0.4588,-0.0157,-0.0405,0.9413
d2_upper_shadow_pct,FAILED_BREAKOUT,409,950,0.0,0.0,1.2019,0.2314,0.0,1.3374,-0.2314,-0.0667,-0.3533,0.0
d2_upper_shadow_pct,NO_LAUNCH,409,1730,0.0,0.0,1.2019,0.0479,0.0,1.0816,-0.0479,-0.1611,-0.1594,0.0925
d2_upper_shadow_pct,STRUCTURE_FAIL,409,5415,0.0,0.0,1.2019,0.0715,0.0,1.3152,-0.0715,-0.1477,-0.1555,0.085
d2_upper_shadow_pct,ALL_CONTROL,409,8095,0.0,0.0,1.2019,0.0844,0.0,1.2605,-0.0844,-0.1402,-0.1497,0.0191
d2_lower_shadow_pct,FAILED_BREAKOUT,409,950,0.4854,0.0831,1.145,0.6529,0.2338,1.346,-0.1675,0.1074,-0.2602,-0.0459
d2_lower_shadow_pct,NO_LAUNCH,409,1730,0.4854,0.0831,1.145,0.6595,0.2116,1.2955,-0.1741,0.0941,-0.2341,-0.0632
d2_lower_shadow_pct,STRUCTURE_FAIL,409,5415,0.4854,0.0831,1.145,0.7286,0.2397,1.4429,-0.2432,0.1214,-0.3003,-0.1377
d2_lower_shadow_pct,ALL_CONTROL,409,8095,0.4854,0.0831,1.145,0.7074,0.2323,1.4019,-0.222,0.1147,-0.2748,-0.1243
d2_close_location,FAILED_BREAKOUT,409,950,1.0,0.25,1.0,0.766,0.2375,1.0,0.234,-0.0844,0.0432,0.3088
d2_close_location,NO_LAUNCH,409,1730,1.0,0.25,1.0,0.8545,0.2578,1.0,0.1455,0.0559,-0.0205,0.2
d2_close_location,STRUCTURE_FAIL,409,5414,1.0,0.25,1.0,0.863,0.3005,1.0,0.137,-0.0216,-0.0241,0.167
d2_close_location,ALL_CONTROL,409,8094,1.0,0.25,1.0,0.845,0.286,1.0,0.155,-0.035,-0.0108,0.1718
d2_gap_pct,FAILED_BREAKOUT,409,950,0.0839,-0.4283,1.2138,0.0,-0.5496,0.9339,0.0839,-0.0725,0.0,0.2624
d2_gap_pct,NO_LAUNCH,409,1730,0.0839,-0.4283,1.2138,0.0,-0.4825,0.9843,0.0839,-0.0475,-0.0312,0.2506
d2_gap_pct,STRUCTURE_FAIL,409,5415,0.0839,-0.4283,1.2138,0.0,-0.5618,1.0031,0.0839,-0.0619,0.0,0.2347
d2_gap_pct,ALL_CONTROL,409,8095,0.0839,-0.4283,1.2138,0.0,-0.5437,0.9899,0.0839,-0.0642,0.0,0.2506
d2_daily_return,FAILED_BREAKOUT,409,950,8.5149,-0.6849,10.0,2.0445,-1.4375,10.0,6.4704,-0.086,0.63,8.2653
d2_daily_return,NO_LAUNCH,409,1730,8.5149,-0.6849,10.0,2.5084,-1.2494,10.0,6.0065,-0.0538,0.0365,7.7962
d2_daily_return,STRUCTURE_FAIL,409,5415,8.5149,-0.6849,10.0,3.5831,-1.0498,10.0,4.9318,-0.0382,-0.6727,6.7769
d2_daily_return,ALL_CONTROL,409,8095,8.5149,-0.6849,10.0,3.095,-1.1225,10.0,5.4199,-0.047,-0.1046,7.0886
d3_body_pct,FAILED_BREAKOUT,409,950,0.4267,-1.6049,2.3158,-0.1479,-2.1486,1.726,0.5746,-0.0951,0.1644,1.0786
d3_body_pct,NO_LAUNCH,409,1730,0.4267,-1.6049,2.3158,0.0,-1.7941,1.9473,0.4267,-0.0493,0.0338,0.8029
d3_body_pct,STRUCTURE_FAIL,409,5415,0.4267,-1.6049,2.3158,0.1708,-1.9554,2.3007,0.2559,-0.032,-0.0575,0.6286
d3_body_pct,ALL_CONTROL,409,8095,0.4267,-1.6049,2.3158,0.1143,-1.9508,2.1532,0.3124,-0.0429,-0.0565,0.6936
d3_range_pct,FAILED_BREAKOUT,409,950,4.6036,3.0841,6.4537,4.6453,3.2501,6.835,-0.0417,0.0303,-0.3486,0.3579
d3_range_pct,NO_LAUNCH,409,1730,4.6036,3.0841,6.4537,4.1433,2.7435,6.4054,0.4603,-0.0685,0.156,0.8546
d3_range_pct,STRUCTURE_FAIL,409,5415,4.6036,3.0841,6.4537,4.7411,3.2374,7.0262,-0.1375,0.0554,-0.3916,0.2272
d3_range_pct,ALL_CONTROL,409,8095,4.6036,3.0841,6.4537,4.5908,3.1027,6.8625,0.0128,0.026,-0.2394,0.3477
d3_upper_shadow_pct,FAILED_BREAKOUT,409,950,0.8904,0.3236,1.8182,1.0169,0.4034,2.0176,-0.1265,0.0602,-0.2685,0.0326
d3_upper_shadow_pct,NO_LAUNCH,409,1730,0.8904,0.3236,1.8182,0.8097,0.2553,1.6977,0.0807,-0.0474,-0.0451,0.2412
d3_upper_shadow_pct,STRUCTURE_FAIL,409,5415,0.8904,0.3236,1.8182,1.0185,0.3698,2.0408,-0.1281,0.0509,-0.2394,0.007
d3_upper_shadow_pct,ALL_CONTROL,409,8095,0.8904,0.3236,1.8182,0.9738,0.346,1.9721,-0.0834,0.024,-0.186,0.0667
d3_lower_shadow_pct,FAILED_BREAKOUT,409,950,0.8213,0.365,1.5152,0.8077,0.3584,1.5127,0.0136,-0.0067,-0.1168,0.1433
d3_lower_shadow_pct,NO_LAUNCH,409,1730,0.8213,0.365,1.5152,0.6991,0.2989,1.3108,0.1222,-0.0851,0.0162,0.2431
d3_lower_shadow_pct,STRUCTURE_FAIL,409,5415,0.8213,0.365,1.5152,0.8016,0.3445,1.5482,0.0197,-0.0116,-0.1001,0.1281
d3_lower_shadow_pct,ALL_CONTROL,409,8095,0.8213,0.365,1.5152,0.78,0.3378,1.4913,0.0413,-0.0289,-0.0899,0.1535
d3_close_location,FAILED_BREAKOUT,409,950,0.537,0.25,0.761,0.4035,0.1713,0.722,0.1335,-0.1086,0.071,0.1863
d3_close_location,NO_LAUNCH,409,1725,0.537,0.25,0.761,0.462,0.182,0.778,0.075,-0.051,0.0,0.119
d3_close_location,STRUCTURE_FAIL,409,5411,0.537,0.25,0.761,0.475,0.189,0.759,0.062,-0.05,0.005,0.104
d3_close_location,ALL_CONTROL,409,8086,0.537,0.25,0.761,0.464,0.186,0.758,0.073,-0.0575,0.0175,0.1145
d3_gap_pct,FAILED_BREAKOUT,409,950,0.0,-0.7549,0.3602,-0.0925,-0.7347,0.403,0.0925,-0.0059,-0.099,0.1533
d3_gap_pct,NO_LAUNCH,409,1730,0.0,-0.7549,0.3602,0.0,-0.6588,0.3719,0.0,0.0182,-0.1147,0.0765
d3_gap_pct,STRUCTURE_FAIL,409,5415,0.0,-0.7549,0.3602,-0.0305,-0.7486,0.4242,0.0305,0.0156,-0.1292,0.0734
d3_gap_pct,ALL_CONTROL,409,8095,0.0,-0.7549,0.3602,-0.0365,-0.7299,0.4113,0.0365,0.0074,-0.1032,0.0732
d3_daily_return,FAILED_BREAKOUT,409,950,0.3356,-2.0621,2.1866,-0.2308,-2.5843,1.6768,0.5664,-0.0881,0.0943,1.026
d3_daily_return,NO_LAUNCH,409,1730,0.3356,-2.0621,2.1866,0.0,-2.0522,1.9644,0.3356,-0.0318,-0.1102,0.6156
d3_daily_return,STRUCTURE_FAIL,409,5415,0.3356,-2.0621,2.1866,0.0384,-2.1677,2.3678,0.2972,-0.0176,-0.0775,0.5591
d3_daily_return,ALL_CONTROL,409,8095,0.3356,-2.0621,2.1866,0.0,-2.1804,2.1944,0.3356,-0.0289,-0.0771,0.5587
