feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
candidate_low_vs_anchor_pct,ALL_CONTROL,409,8095,-3.653,-5.9087,-1.5933,-3.7037,-6.4782,-1.6419,0.0507,-0.0331,-0.2638,0.4714
max_dd_from_post_anchor_high_pct,FAILED_BREAKOUT,409,950,-6.879,-9.3437,-5.0074,-6.9854,-9.5505,-4.9006,0.1064,-0.0099,-0.4842,0.5076
max_dd_from_post_anchor_high_pct,NO_LAUNCH,409,1730,-6.879,-9.3437,-5.0074,-7.1151,-10.8596,-4.8339,0.2361,-0.0533,-0.2828,0.6891
max_dd_from_post_anchor_high_pct,STRUCTURE_FAIL,409,5415,-6.879,-9.3437,-5.0074,-7.9563,-10.9202,-5.7214,1.0773,-0.1744,0.5826,1.4693
max_dd_from_post_anchor_high_pct,ALL_CONTROL,409,8095,-6.879,-9.3437,-5.0074,-7.6661,-10.74,-5.4054,0.7871,-0.1292,0.322,1.182
low_position_enc,FAILED_BREAKOUT,409,950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4208,0.0,0.0
low_position_enc,NO_LAUNCH,409,1730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3243,0.0,0.0
low_position_enc,STRUCTURE_FAIL,409,5415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3338,0.0,0.0
low_position_enc,ALL_CONTROL,409,8095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3131,0.0,0.0
d0_vol_anchor_ratio,FAILED_BREAKOUT,409,950,0.9574,0.7448,1.424,1.1492,0.8485,1.6079,-0.1918,0.1757,-0.2561,-0.1307
d0_vol_anchor_ratio,NO_LAUNCH,409,1730,0.9574,0.7448,1.424,1.0112,0.7558,1.5347,-0.0538,0.0506,-0.1232,0.0043
d0_vol_anchor_ratio,STRUCTURE_FAIL,409,5415,0.9574,0.7448,1.424,1.1801,0.8345,1.707,-0.2227,0.1909,-0.2787,-0.1728
d0_vol_anchor_ratio,ALL_CONTROL,409,8095,0.9574,0.7448,1.424,1.146,0.8169,1.6576,-0.1886,0.1591,-0.2468,-0.1377
d1_vol_anchor_ratio,FAILED_BREAKOUT,409,950,1.0,1.0,1.4518,1.0,1.0,1.3517,0.0,-0.1907,0.0,0.0301
d1_vol_anchor_ratio,NO_LAUNCH,409,1730,1.0,1.0,1.4518,1.0,1.0,1.3521,0.0,-0.1836,0.0,0.0299
d1_vol_anchor_ratio,STRUCTURE_FAIL,409,5415,1.0,1.0,1.4518,1.0,1.0,1.4108,0.0,-0.1293,0.0,0.0414
d1_vol_anchor_ratio,ALL_CONTROL,409,8095,1.0,1.0,1.4518,1.0,1.0,1.3975,0.0,-0.1478,0.0,0.0371
d2_vol_anchor_ratio,FAILED_BREAKOUT,409,950,1.0,0.5432,1.0,1.0,0.5263,1.0,0.0,-0.0418,0.0,0.0016
d2_vol_anchor_ratio,NO_LAUNCH,409,1730,1.0,0.5432,1.0,1.0,0.4994,1.0,0.0,0.095,0.0,0.0
d2_vol_anchor_ratio,STRUCTURE_FAIL,409,5415,1.0,0.5432,1.0,1.0,0.5681,1.0,0.0,-0.0545,0.0,0.0
d2_vol_anchor_ratio,ALL_CONTROL,409,8095,1.0,0.5432,1.0,1.0,0.5479,1.0,0.0,-0.158,0.0,0.0
pullback_min_vol_ratio,FAILED_BREAKOUT,409,950,0.9436,0.7398,1.3826,1.1444,0.8431,1.6066,-0.2008,0.1834,-0.2631,-0.1259
pullback_min_vol_ratio,NO_LAUNCH,409,1730,0.9436,0.7398,1.3826,1.0,0.7473,1.5295,-0.0564,0.0559,-0.1225,0.0015
pullback_min_vol_ratio,STRUCTURE_FAIL,409,5415,0.9436,0.7398,1.3826,1.1636,0.8304,1.6805,-0.22,0.192,-0.2741,-0.1668
