setup_id,code,anchor_date,anchor_price,anchor_source,profile,limit_price,is_first_board,recent_limit_count,recent_limits_non_consecutive,seal_before_cutoff,snapshot_id,strategy_commit,strategy_config_hash
000691:20240104:582,000691,2024-01-04,5.82,PRICE_ONLY,PRICE_ONLY,5.82,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000829:20240104:1031,000829,2024-01-04,10.31,PRICE_ONLY,PRICE_ONLY,10.31,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002178:20240104:564,002178,2024-01-04,5.64,PRICE_ONLY,PRICE_ONLY,5.64,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002432:20240104:4230,002432,2024-01-04,42.30,PRICE_ONLY,PRICE_ONLY,42.30,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002529:20240104:1381,002529,2024-01-04,13.81,PRICE_ONLY,PRICE_ONLY,13.81,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002758:20240104:1145,002758,2024-01-04,11.45,PRICE_ONLY,PRICE_ONLY,11.45,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002780:20240104:1443,002780,2024-01-04,14.43,PRICE_ONLY,PRICE_ONLY,14.43,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002786:20240104:1642,002786,2024-01-04,16.42,PRICE_ONLY,PRICE_ONLY,16.42,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002981:20240104:3760,002981,2024-01-04,37.60,PRICE_ONLY,PRICE_ONLY,37.60,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
003025:20240104:1454,003025,2024-01-04,14.54,PRICE_ONLY,PRICE_ONLY,14.54,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
003029:20240104:2159,003029,2024-01-04,21.59,PRICE_ONLY,PRICE_ONLY,21.59,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
601096:20240104:561,601096,2024-01-04,5.61,PRICE_ONLY,PRICE_ONLY,5.61,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
601188:20240104:436,601188,2024-01-04,4.36,PRICE_ONLY,PRICE_ONLY,4.36,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603004:20240104:4212,603004,2024-01-04,42.12,PRICE_ONLY,PRICE_ONLY,42.12,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603029:20240104:2279,603029,2024-01-04,22.79,PRICE_ONLY,PRICE_ONLY,22.79,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603048:20240104:2031,603048,2024-01-04,20.31,PRICE_ONLY,PRICE_ONLY,20.31,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603052:20240104:5368,603052,2024-01-04,53.68,PRICE_ONLY,PRICE_ONLY,53.68,True,2,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603097:20240104:2573,603097,2024-01-04,25.73,PRICE_ONLY,PRICE_ONLY,25.73,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603162:20240104:1938,603162,2024-01-04,19.38,PRICE_ONLY,PRICE_ONLY,19.38,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603273:20240104:2651,603273,2024-01-04,26.51,PRICE_ONLY,PRICE_ONLY,26.51,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603280:20240104:2866,603280,2024-01-04,28.66,PRICE_ONLY,PRICE_ONLY,28.66,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603356:20240104:1615,603356,2024-01-04,16.15,PRICE_ONLY,PRICE_ONLY,16.15,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603390:20240104:1098,603390,2024-01-04,10.98,PRICE_ONLY,PRICE_ONLY,10.98,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603908:20240104:3963,603908,2024-01-04,39.63,PRICE_ONLY,PRICE_ONLY,39.63,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605080:20240104:2298,605080,2024-01-04,22.98,PRICE_ONLY,PRICE_ONLY,22.98,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605378:20240104:2916,605378,2024-01-04,29.16,PRICE_ONLY,PRICE_ONLY,29.16,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000590:20240105:1023,000590,2024-01-05,10.23,PRICE_ONLY,PRICE_ONLY,10.23,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002172:20240105:431,002172,2024-01-05,4.31,PRICE_ONLY,PRICE_ONLY,4.31,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002354:20240105:597,002354,2024-01-05,5.97,PRICE_ONLY,PRICE_ONLY,5.97,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002403:20240105:971,002403,2024-01-05,9.71,PRICE_ONLY,PRICE_ONLY,9.71,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002577:20240105:1867,002577,2024-01-05,18.67,PRICE_ONLY,PRICE_ONLY,18.67,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603065:20240105:1527,603065,2024-01-05,15.27,PRICE_ONLY,PRICE_ONLY,15.27,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
