episode_id,symbol,anchor_date,candidate_date,frozen_pattern_3d,recomputed_pattern_3d,frozen_outcome_3d,recomputed_outcome_3d,frozen_outcome_reason,recomputed_outcome_reason,s1_price,invalid_price,first_s1_touch_date,first_invalid_touch_date,conflict_class,candidate_row_reconciliation_status,event_row_reconciliation_status,feature_snapshot_id,feature_snapshot_hash,episode_snapshot_id
002010:20250718:652,002010,2025-07-18,2025-07-22,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 6.50 < S1 6.66,6.66,6.09,2025-07-24,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
601975:20250908:336,601975,2025-09-08,2025-09-09,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 3.28 < S1 3.47,3.47,3.08,2025-09-12,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600246:20251113:1197,600246,2025-11-13,2025-11-17,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 12.32 < S1 12.80,12.8,11.91,2025-11-18,2025-11-19,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000045:20260121:1364,000045,2026-01-21,2026-01-23,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,14.42,12.99,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002890:20260121:1628,002890,2026-01-21,2026-01-23,INVALID_BEFORE_S1,S1_BEFORE_INVALID,STRUCTURE_FAIL,FAILED_BREAKOUT,invalid first within 3 sessions,FAILED_EXPANSION: S1 close accepted but volume < signal-day volume,16.99,15.57,2026-01-28,,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600732:20260123:1474,600732,2026-01-23,2026-01-27,AMBIGUOUS,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,pattern_3d AMBIGUOUS (same-day S1/invalid order unknown),invalid first within 3 sessions,15.09,14.33,,2026-01-28,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600173:20260126:871,600173,2026-01-26,2026-01-27,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,10.16,7.95,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600589:20260126:1054,600589,2026-01-26,2026-01-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,11.87,10.49,,2026-01-28,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000607:20260123:504,000607,2026-01-23,2026-01-27,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,5.48,4.71,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600498:20260123:4182,600498,2026-01-23,2026-01-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,42.86,39.1,,2026-01-28,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
001203:20260123:3315,001203,2026-01-23,2026-01-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,33.68,29.45,,2026-01-30,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002780:20260123:1672,002780,2026-01-23,2026-01-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,15.41,14.43,,2026-01-29,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600118:20260123:10890,600118,2026-01-23,2026-01-27,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,127.77,88.57,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002088:20260123:1287,002088,2026-01-23,2026-01-27,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,13.93,12.8,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
001400:20260123:12157,001400,2026-01-23,2026-01-27,S1_BEFORE_INVALID,INVALID_BEFORE_S1,UNKNOWN,STRUCTURE_FAIL,S1_BEFORE_INVALID flagged but no S1-touch bar found,invalid first within 3 sessions,124.95,104.04,,2026-01-28,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
000703:20260323:1184,000703,2026-03-23,2026-03-24,S1_BEFORE_INVALID,S1_BEFORE_INVALID,UNKNOWN,FAILED_BREAKOUT,S1_BEFORE_INVALID flagged but no S1-touch bar found,FAILED_ACCEPTANCE: S1 touched but close 12.59 < S1 13.07,13.07,11.78,2026-03-26,,S1_TOUCH_RESOLUTION_CHANGED,CONFIRMED,CONFIRMED,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
002316:20260324:520,002316,2026-03-24,2026-03-26,NEITHER,S1_BEFORE_INVALID,NO_LAUNCH,FAILED_BREAKOUT,no S1 and no invalid touch within 3 sessions,FAILED_ACCEPTANCE: S1 touched but close 5.67 < S1 5.86,5.86,5.17,2026-03-31,,PATTERN_CHANGED,CONFIRMED,PROVISIONAL,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
600191:20260325:1198,600191,2026-03-25,2026-03-26,INVALID_BEFORE_S1,NEITHER,STRUCTURE_FAIL,NO_LAUNCH,invalid first within 3 sessions,no S1 and no invalid touch within 3 sessions,12.94,11.92,,,PATTERN_CHANGED,CONFIRMED,,snap-2026-07-31-b5f84004de8a,e7243dee3bafe46e725e2b6ee884b07ac97a01c0705b41df0562d35019593514,snap-2026-07-31-b5f84004de8a
