episode_id,symbol,name,anchor_date,candidate_date,outcome_3d,outcome_reason_3d,outcome_5d,outcome_reason_5d,time_to_s1_10d,time_to_invalid_10d,first_event_type_10d,first_event_date_10d,window_incomplete_5d,window_incomplete_10d,first_event_right_censored_10d,candidate_reconciliation_status,feature_3d_has_provisional,label_5d_has_provisional,s1_price,invalid_price,data_quality,quality_flags,feature_snapshot_id,label_snapshot_id_5d
003005:20240702:2294,003005,竞业达,2024-07-02,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,26.3,22.83,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600266:20240701:411,600266,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,2.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,4.59,4.09,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002562:20240701:328,002562,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,2.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,3.66,3.26,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600221:20240701:112,600221,,2024-07-01,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,1.24,1.14,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
000659:20240702:146,000659,珠海中富,2024-07-02,2024-07-03,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,9.0,1.0,INVALID_FIRST,2024-07-04,False,False,False,CONFIRMED,False,False,1.57,1.4,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
600719:20240628:999,600719,,2024-06-28,2024-07-04,NO_LAUNCH,no S1 and no invalid touch within 3 sessions,NO_LAUNCH,no S1 and no invalid touch within 5 sessions,,8.0,INVALID_FIRST,2024-07-16,False,False,False,CONFIRMED,False,False,10.49,7.97,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002741:20240703:981,002741,,2024-07-03,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,2.0,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,10.56,9.46,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
603536:20240703:893,603536,,2024-07-03,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,9.18,8.21,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
603002:20240703:504,603002,,2024-07-03,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,3.0,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,5.33,4.97,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
002552:20240702:1456,002552,宝鼎科技,2024-07-02,2024-07-04,STRUCTURE_FAIL,invalid first within 3 sessions,STRUCTURE_FAIL,invalid first within 5 sessions,3.0,1.0,INVALID_FIRST,2024-07-05,False,False,False,CONFIRMED,False,False,14.98,13.86,PARTIAL,"[""INFERRED_LIMIT_ANCHOR"", ""MISSING_SCORE_FIELD:amplitude_contraction"", ""MISSING_SCORE_FIELD:b2_quality"", ""MISSING_SCORE_FIELD:position_120""]",snap-2026-07-31-b5f84004de8a,snap-2026-08-06-e798f88ff67b
