CHECKPOINT,stratum,group,feature,success_n,control_n,success_median,control_median,rank_biserial
0945,Q2,STRUCTURE_FAIL,recovery_from_session_low_pct,13,11,2.43,2.008,0.1329
0945,Q2,STRUCTURE_FAIL,price_vs_vwap_pct,13,11,0.0959,0.3412,0.2308
0945,Q2,STRUCTURE_FAIL,close_location_so_far,13,11,0.361,0.591,0.1748
0945,Q2,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,13,11,1.0,0.0,-0.1748
0945,Q2,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,9,6,1.1991,1.0392,-0.1481
0945,Q2,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,13,11,0.191,0.2013,0.0629
0945,Q2,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,13,11,0.2373,0.2351,-0.021
0945,Q2,STRUCTURE_FAIL,session_range_pct,13,11,4.2458,4.3522,-0.035
0945,Q2,STRUCTURE_FAIL,session_low_pct_vs_prev_close,13,11,-1.7204,-2.6597,-0.1329
0945,Q2,STRUCTURE_FAIL,D1_upper_shadow_pct,13,11,2.0101,0.9818,-0.1329
0945,Q3,FAILED_BREAKOUT,price_to_s1_pct,9,30,-5.843,-6.6952,-0.3556
0945,Q3,FAILED_BREAKOUT,s1_reject_count_so_far,9,30,0.0,0.0,0.0
0945,Q3,FAILED_BREAKOUT,support_reclaimed_so_far,9,30,0.0,0.0,0.1
0945,Q3,FAILED_BREAKOUT,recovery_from_session_low_pct,9,30,1.7408,2.3526,0.1111
0945,Q3,FAILED_BREAKOUT,price_vs_vwap_pct,9,30,0.1492,0.0156,0.1037
0945,Q3,FAILED_BREAKOUT,close_location_so_far,9,30,0.514,0.564,0.1259
0945,Q3,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,9,30,0.0,0.0,-0.0111
0945,Q3,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,9,30,0.257,0.3059,0.163
0945,Q3,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,9,30,0.349,0.3059,-0.0741
0945,Q3,FAILED_BREAKOUT,session_range_pct,9,30,4.0544,4.4892,0.2074
0945,Q3,FAILED_BREAKOUT,session_low_pct_vs_prev_close,9,30,-1.0977,-2.032,-0.4741
0945,Q3,FAILED_BREAKOUT,D1_upper_shadow_pct,9,30,0.0,0.0,-0.2222
0945,Q3,STRUCTURE_FAIL,price_to_s1_pct,9,10,-5.843,-6.2345,-0.3111
0945,Q3,STRUCTURE_FAIL,s1_reject_count_so_far,9,10,0.0,0.0,0.0
0945,Q3,STRUCTURE_FAIL,support_reclaimed_so_far,9,10,0.0,0.0,-0.0333
0945,Q3,STRUCTURE_FAIL,recovery_from_session_low_pct,9,10,1.7408,2.5323,0.1556
0945,Q3,STRUCTURE_FAIL,price_vs_vwap_pct,9,10,0.1492,0.1507,0.0667
0945,Q3,STRUCTURE_FAIL,close_location_so_far,9,10,0.514,0.4815,0.1111
0945,Q3,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,9,10,0.0,0.0,0.0889
0945,Q3,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,9,10,0.257,0.3418,0.2889
0945,Q3,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,9,10,0.349,0.3418,0.0667
0945,Q3,STRUCTURE_FAIL,session_range_pct,9,10,4.0544,4.8577,0.4
0945,Q3,STRUCTURE_FAIL,session_low_pct_vs_prev_close,9,10,-1.0977,-2.1733,-0.6
0945,Q3,STRUCTURE_FAIL,D1_upper_shadow_pct,9,10,0.0,0.0,-0.3333
0945,Q4,FAILED_BREAKOUT,price_to_s1_pct,11,29,-4.9632,-4.8649,0.0031
0945,Q4,FAILED_BREAKOUT,s1_reject_count_so_far,11,29,0.0,0.0,0.0
0945,Q4,FAILED_BREAKOUT,support_reclaimed_so_far,11,29,0.0,0.0,-0.0313
0945,Q4,FAILED_BREAKOUT,recovery_from_session_low_pct,11,29,1.5743,1.5219,-0.0846
0945,Q4,FAILED_BREAKOUT,price_vs_vwap_pct,11,29,0.1308,-0.137,-0.1285
0945,Q4,FAILED_BREAKOUT,close_location_so_far,11,29,0.484,0.413,-0.094
0945,Q4,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,11,29,0.0,0.0,-0.0188
0945,Q4,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,6,16,1.1101,1.3625,0.2917
0945,Q4,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,11,29,0.2003,0.2346,0.2476
0945,Q4,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,11,29,0.2241,0.3064,0.4796
0945,Q4,FAILED_BREAKOUT,session_range_pct,11,29,4.0929,3.8333,0.0408
0945,Q4,FAILED_BREAKOUT,session_low_pct_vs_prev_close,11,29,-2.0927,-3.1827,-0.2853
0945,Q4,FAILED_BREAKOUT,D1_upper_shadow_pct,11,29,1.8331,0.4105,-0.1003
0945,Q4,STRUCTURE_FAIL,price_to_s1_pct,11,9,-4.9632,-5.5205,-0.0909
0945,Q4,STRUCTURE_FAIL,s1_reject_count_so_far,11,9,0.0,0.0,0.0
0945,Q4,STRUCTURE_FAIL,support_reclaimed_so_far,11,9,0.0,0.0,-0.1616
0945,Q4,STRUCTURE_FAIL,recovery_from_session_low_pct,11,9,1.5743,1.5254,-0.1313
0945,Q4,STRUCTURE_FAIL,price_vs_vwap_pct,11,9,0.1308,-0.0612,-0.0303
0945,Q4,STRUCTURE_FAIL,close_location_so_far,11,9,0.484,0.377,-0.1313
0945,Q4,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,11,9,0.0,0.0,0.0808
0945,Q4,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,6,5,1.1101,0.9423,-0.3333
0945,Q4,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,11,9,0.2003,0.289,0.3939
0945,Q4,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,11,9,0.2241,0.2578,0.2727
0945,Q4,STRUCTURE_FAIL,session_range_pct,11,9,4.0929,4.2484,0.1515
0945,Q4,STRUCTURE_FAIL,session_low_pct_vs_prev_close,11,9,-2.0927,-3.5159,-0.4141
0945,Q4,STRUCTURE_FAIL,D1_upper_shadow_pct,11,9,1.8331,0.0,-0.2828
1000,Q1,FAILED_BREAKOUT,price_to_s1_pct,7,18,-10.3924,-10.6755,-0.0476
1000,Q1,FAILED_BREAKOUT,s1_reject_count_so_far,7,18,0.0,0.0,0.0
1000,Q1,FAILED_BREAKOUT,support_reclaimed_so_far,7,18,0.0,0.5,0.0714
1000,Q1,FAILED_BREAKOUT,recovery_from_session_low_pct,7,18,2.8205,4.115,0.3016
1000,Q1,FAILED_BREAKOUT,price_vs_vwap_pct,7,18,-0.168,0.7666,0.1587
1000,Q1,FAILED_BREAKOUT,close_location_so_far,7,18,0.615,0.6885,0.1429
1000,Q1,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,7,18,0.0,0.0,0.2222
1000,Q1,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,6,6,1.2454,1.5413,0.2222
1000,Q1,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,7,18,0.4321,0.6315,0.1587
1000,Q1,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,7,18,0.5444,0.6882,0.2381
1000,Q1,FAILED_BREAKOUT,session_range_pct,7,18,4.2459,6.0331,0.4762
1000,Q1,FAILED_BREAKOUT,session_low_pct_vs_prev_close,7,18,0.8636,-2.104,-0.8254
1000,Q1,FAILED_BREAKOUT,D1_upper_shadow_pct,7,18,0.8556,0.0,-0.3968
1000,Q1,NO_LAUNCH,price_to_s1_pct,7,5,-10.3924,-15.567,-0.9429
1000,Q1,NO_LAUNCH,s1_reject_count_so_far,7,5,0.0,0.0,0.0
1000,Q1,NO_LAUNCH,support_reclaimed_so_far,7,5,0.0,0.0,-0.2286
1000,Q1,NO_LAUNCH,recovery_from_session_low_pct,7,5,2.8205,2.6887,0.0857
1000,Q1,NO_LAUNCH,price_vs_vwap_pct,7,5,-0.168,0.734,0.2
1000,Q1,NO_LAUNCH,close_location_so_far,7,5,0.615,0.655,0.2571
1000,Q1,NO_LAUNCH,d0_new_low_since_anchor_so_far,7,5,0.0,0.0,0.4
1000,Q1,NO_LAUNCH,cum_volume_vs_D1_ratio,7,5,0.4321,0.3049,-0.5429
1000,Q1,NO_LAUNCH,cum_volume_vs_anchor_ratio,7,5,0.5444,0.2748,-0.5429
1000,Q1,NO_LAUNCH,session_range_pct,7,5,4.2459,5.0968,0.0857
1000,Q1,NO_LAUNCH,session_low_pct_vs_prev_close,7,5,0.8636,-1.4271,-0.8286
1000,Q1,NO_LAUNCH,D1_upper_shadow_pct,7,5,0.8556,1.0088,-0.0571
1000,Q1,STRUCTURE_FAIL,price_to_s1_pct,7,21,-10.3924,-11.7041,-0.2653
1000,Q1,STRUCTURE_FAIL,s1_reject_count_so_far,7,21,0.0,0.0,0.0
1000,Q1,STRUCTURE_FAIL,support_reclaimed_so_far,7,21,0.0,1.0,0.1905
1000,Q1,STRUCTURE_FAIL,recovery_from_session_low_pct,7,21,2.8205,4.028,0.3197
1000,Q1,STRUCTURE_FAIL,price_vs_vwap_pct,7,21,-0.168,0.3043,0.0068
1000,Q1,STRUCTURE_FAIL,close_location_so_far,7,21,0.615,0.581,-0.0068
1000,Q1,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,7,21,0.0,0.0,0.1905
1000,Q1,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,6,7,1.2454,1.5672,0.3333
1000,Q1,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,7,21,0.4321,0.9012,0.4286
1000,Q1,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,7,21,0.5444,0.9895,0.5102
1000,Q1,STRUCTURE_FAIL,session_range_pct,7,21,4.2459,7.8276,0.7143
1000,Q1,STRUCTURE_FAIL,session_low_pct_vs_prev_close,7,21,0.8636,-2.0583,-0.7959
1000,Q1,STRUCTURE_FAIL,D1_upper_shadow_pct,7,21,0.8556,0.0,-0.449
1000,Q2,FAILED_BREAKOUT,price_to_s1_pct,13,20,-9.434,-6.9719,0.2923
1000,Q2,FAILED_BREAKOUT,s1_reject_count_so_far,13,20,0.0,0.0,0.0
1000,Q2,FAILED_BREAKOUT,support_reclaimed_so_far,13,20,0.0,1.0,0.1885
1000,Q2,FAILED_BREAKOUT,recovery_from_session_low_pct,13,20,2.5821,4.0415,0.3615
1000,Q2,FAILED_BREAKOUT,price_vs_vwap_pct,13,20,0.1667,0.0042,0.0615
1000,Q2,FAILED_BREAKOUT,close_location_so_far,13,20,0.526,0.5915,0.1385
1000,Q2,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,13,20,1.0,0.0,-0.3885
1000,Q2,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,9,5,1.1991,1.0069,0.3333
1000,Q2,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,13,20,0.2632,0.3954,0.4769
1000,Q2,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,13,20,0.3373,0.5151,0.4077
1000,Q2,FAILED_BREAKOUT,session_range_pct,13,20,4.8451,5.7613,0.3769
1000,Q2,FAILED_BREAKOUT,session_low_pct_vs_prev_close,13,20,-1.7204,-1.4034,0.1308
1000,Q2,FAILED_BREAKOUT,D1_upper_shadow_pct,13,20,2.0101,0.0,-0.5692
1000,Q2,STRUCTURE_FAIL,price_to_s1_pct,13,11,-9.434,-9.0977,0.1189
1000,Q2,STRUCTURE_FAIL,s1_reject_count_so_far,13,11,0.0,0.0,0.0
1000,Q2,STRUCTURE_FAIL,support_reclaimed_so_far,13,11,0.0,0.0,-0.0979
1000,Q2,STRUCTURE_FAIL,recovery_from_session_low_pct,13,11,2.5821,2.5788,0.1329
1000,Q2,STRUCTURE_FAIL,price_vs_vwap_pct,13,11,0.1667,0.6631,0.2168
1000,Q2,STRUCTURE_FAIL,close_location_so_far,13,11,0.526,0.717,0.2587
1000,Q2,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,13,11,1.0,0.0,-0.0839
1000,Q2,STRUCTURE_FAIL,pullback_volume_dry_up_pre_D0,9,6,1.1991,1.0392,-0.1481
1000,Q2,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,13,11,0.2632,0.2981,0.1329
1000,Q2,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,13,11,0.3373,0.3479,0.035
1000,Q2,STRUCTURE_FAIL,session_range_pct,13,11,4.8451,5.0841,0.007
1000,Q2,STRUCTURE_FAIL,session_low_pct_vs_prev_close,13,11,-1.7204,-2.6597,-0.1469
1000,Q2,STRUCTURE_FAIL,D1_upper_shadow_pct,13,11,2.0101,0.9818,-0.1329
1000,Q3,FAILED_BREAKOUT,price_to_s1_pct,9,30,-4.8107,-6.3426,-0.3481
1000,Q3,FAILED_BREAKOUT,s1_reject_count_so_far,9,30,0.0,0.0,0.0
1000,Q3,FAILED_BREAKOUT,support_reclaimed_so_far,9,30,0.0,1.0,0.2
1000,Q3,FAILED_BREAKOUT,recovery_from_session_low_pct,9,30,3.2015,3.2922,0.2519
1000,Q3,FAILED_BREAKOUT,price_vs_vwap_pct,9,30,0.2165,0.4672,0.037
1000,Q3,FAILED_BREAKOUT,close_location_so_far,9,30,0.567,0.6345,0.037
1000,Q3,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,9,30,0.0,0.0,-0.0111
1000,Q3,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,9,30,0.3299,0.4224,0.2148
1000,Q3,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,9,30,0.4707,0.4224,0.0
1000,Q3,FAILED_BREAKOUT,session_range_pct,9,30,4.1373,4.7279,0.3185
1000,Q3,FAILED_BREAKOUT,session_low_pct_vs_prev_close,9,30,-1.1173,-2.032,-0.4667
1000,Q3,FAILED_BREAKOUT,D1_upper_shadow_pct,9,30,0.0,0.0,-0.2222
1000,Q3,STRUCTURE_FAIL,price_to_s1_pct,9,10,-4.8107,-6.5076,-0.4222
1000,Q3,STRUCTURE_FAIL,s1_reject_count_so_far,9,10,0.0,0.0,0.0
1000,Q3,STRUCTURE_FAIL,support_reclaimed_so_far,9,10,0.0,0.0,0.0667
1000,Q3,STRUCTURE_FAIL,recovery_from_session_low_pct,9,10,3.2015,2.4017,0.1333
1000,Q3,STRUCTURE_FAIL,price_vs_vwap_pct,9,10,0.2165,-0.1698,-0.2667
1000,Q3,STRUCTURE_FAIL,close_location_so_far,9,10,0.567,0.449,-0.2889
1000,Q3,STRUCTURE_FAIL,d0_new_low_since_anchor_so_far,9,10,0.0,0.0,0.0889
1000,Q3,STRUCTURE_FAIL,cum_volume_vs_D1_ratio,9,10,0.3299,0.4624,0.3111
1000,Q3,STRUCTURE_FAIL,cum_volume_vs_anchor_ratio,9,10,0.4707,0.4624,0.1111
1000,Q3,STRUCTURE_FAIL,session_range_pct,9,10,4.1373,5.218,0.5556
1000,Q3,STRUCTURE_FAIL,session_low_pct_vs_prev_close,9,10,-1.1173,-2.1808,-0.6222
1000,Q3,STRUCTURE_FAIL,D1_upper_shadow_pct,9,10,0.0,0.0,-0.3333
1000,Q4,FAILED_BREAKOUT,price_to_s1_pct,11,29,-5.0,-4.9801,-0.0408
1000,Q4,FAILED_BREAKOUT,s1_reject_count_so_far,11,29,0.0,0.0,0.0
1000,Q4,FAILED_BREAKOUT,support_reclaimed_so_far,11,29,0.0,0.0,-0.2132
1000,Q4,FAILED_BREAKOUT,recovery_from_session_low_pct,11,29,2.1696,1.8877,-0.094
1000,Q4,FAILED_BREAKOUT,price_vs_vwap_pct,11,29,-0.1887,-0.0887,0.0157
1000,Q4,FAILED_BREAKOUT,close_location_so_far,11,29,0.478,0.456,0.0
1000,Q4,FAILED_BREAKOUT,d0_new_low_since_anchor_so_far,11,29,0.0,0.0,-0.0188
1000,Q4,FAILED_BREAKOUT,pullback_volume_dry_up_pre_D0,6,16,1.1101,1.3625,0.2917
1000,Q4,FAILED_BREAKOUT,cum_volume_vs_D1_ratio,11,29,0.2563,0.319,0.2915
1000,Q4,FAILED_BREAKOUT,cum_volume_vs_anchor_ratio,11,29,0.3336,0.4149,0.4295
1000,Q4,FAILED_BREAKOUT,session_range_pct,11,29,4.0929,4.0439,0.1034
