feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
minutes_low_to_prev_close_reclaim,0945,STRUCTURE_FAIL,0.1481,0.0,0.0,0.0
price_vs_vwap_pct,0945,FAILED_BREAKOUT,0.0082,-0.5572,0.5831,0.1719
price_vs_vwap_pct,0945,STRUCTURE_FAIL,0.1593,-0.8973,0.327,-0.1236
minutes_low_to_vwap_reclaim,0945,FAILED_BREAKOUT,-0.3294,0.0,5.0,0.0
minutes_low_to_vwap_reclaim,0945,STRUCTURE_FAIL,-0.3889,0.0,5.0,0.0
pct_bars_above_vwap_since_low,0945,FAILED_BREAKOUT,-0.0057,-33.34,33.34,0.0
pct_bars_above_vwap_since_low,0945,STRUCTURE_FAIL,0.0691,-50.005,25.4165,-16.67
vwap_rebreak_count_after_low,0945,FAILED_BREAKOUT,0.118,0.0,0.0,0.0
vwap_rebreak_count_after_low,0945,STRUCTURE_FAIL,0.0461,0.0,0.0,0.0
vwap_reclaim_count_after_low,0945,FAILED_BREAKOUT,0.0121,0.0,0.0,0.0
vwap_reclaim_count_after_low,0945,STRUCTURE_FAIL,0.0495,0.0,0.0,0.0
closest_high_to_s1_pct_so_far,0945,FAILED_BREAKOUT,0.0258,-2.1133,1.6968,-0.1793
closest_high_to_s1_pct_so_far,0945,STRUCTURE_FAIL,-0.2882,0.3545,4.2503,2.7675
number_of_intraday_local_highs,0945,FAILED_BREAKOUT,-0.067,0.0,0.5,0.0
number_of_intraday_local_highs,0945,STRUCTURE_FAIL,0.0657,-1.0,0.5,0.0
local_high_progression_pct,0945,FAILED_BREAKOUT,-0.0606,-0.3996,1.1505,0.3231
local_high_progression_pct,0945,STRUCTURE_FAIL,0.1186,-1.7469,0.3957,-0.9114
high_progression_pct,0945,FAILED_BREAKOUT,-0.0606,-0.3996,1.1505,0.3231
high_progression_pct,0945,STRUCTURE_FAIL,0.1186,-1.7469,0.3957,-0.9114
probe_v01_compat,0945,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
probe_v01_compat,0945,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
continuous_s1_approach,0945,FAILED_BREAKOUT,0.0258,-2.1133,1.6968,-0.1793
continuous_s1_approach,0945,STRUCTURE_FAIL,-0.2882,0.3545,4.2503,2.7675
cum_volume,0945,FAILED_BREAKOUT,-0.1129,-1839542.55,13151709.375,5765499.0
cum_volume,0945,STRUCTURE_FAIL,-0.0745,-3868202.0375,9891683.525,3277982.0
cum_volume_vs_D1_ratio,0945,FAILED_BREAKOUT,0.2335,-0.128,0.0286,-0.06
cum_volume_vs_D1_ratio,0945,STRUCTURE_FAIL,0.3314,-0.2303,-0.0119,-0.0991
cum_volume_vs_anchor_ratio,0945,FAILED_BREAKOUT,0.2129,-0.1225,0.0153,-0.0343
cum_volume_vs_anchor_ratio,0945,STRUCTURE_FAIL,0.2931,-0.3318,-0.0177,-0.0768
volume_since_session_low,0945,FAILED_BREAKOUT,-0.1113,-875344.2875,9173457.65,3030662.0
