feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
s1_reject_count_so_far,1030,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
price_to_support_pct,1030,FAILED_BREAKOUT,-0.0119,-1.1299,0.7721,-0.2485
price_to_support_pct,1030,STRUCTURE_FAIL,-0.1039,-0.5406,1.4674,0.5061
price_to_invalid_pct,1030,FAILED_BREAKOUT,-0.0505,-1.1564,1.2694,-0.2199
price_to_invalid_pct,1030,STRUCTURE_FAIL,-0.1167,-0.5993,1.7004,0.2927
session_low_to_support_pct,1030,FAILED_BREAKOUT,-0.1835,-0.1305,1.9043,0.7758
session_low_to_support_pct,1030,STRUCTURE_FAIL,-0.1912,-0.292,2.2157,0.8041
minutes_since_support_touch,1030,FAILED_BREAKOUT,-0.0625,0.0,0.0,0.0
minutes_since_support_touch,1030,STRUCTURE_FAIL,-0.0909,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1030,FAILED_BREAKOUT,0.001,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1030,STRUCTURE_FAIL,0.1093,-2.5,0.0,0.0
price_after_support_reclaim_pct,1030,FAILED_BREAKOUT,0.1142,-1.0319,0.4023,-0.1918
price_after_support_reclaim_pct,1030,STRUCTURE_FAIL,-0.0405,-0.6879,1.1046,0.3547
drawdown_from_open_pct,1030,FAILED_BREAKOUT,-0.1804,-0.0743,1.049,0.618
drawdown_from_open_pct,1030,STRUCTURE_FAIL,-0.0941,-0.5047,0.6413,0.0463
session_low_pct_vs_prev_close,1030,FAILED_BREAKOUT,-0.2933,-0.0935,1.7629,0.8593
session_low_pct_vs_prev_close,1030,STRUCTURE_FAIL,-0.3294,0.0054,1.9764,0.9398
recovery_from_session_low_pct,1030,FAILED_BREAKOUT,0.1696,-1.4777,0.4383,-0.5794
recovery_from_session_low_pct,1030,STRUCTURE_FAIL,0.0686,-1.0289,1.0581,-0.0459
recovery_fraction_of_drawdown,1030,FAILED_BREAKOUT,-0.1116,-0.2737,0.7774,0.1547
recovery_fraction_of_drawdown,1030,STRUCTURE_FAIL,-0.0235,-0.755,0.8164,0.0666
minutes_low_to_open_reclaim,1030,FAILED_BREAKOUT,-0.0526,0.0,0.0,0.0
minutes_low_to_open_reclaim,1030,STRUCTURE_FAIL,-0.0908,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1030,FAILED_BREAKOUT,-0.0309,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1030,STRUCTURE_FAIL,0.0141,0.0,0.0,0.0
price_vs_vwap_pct,1030,FAILED_BREAKOUT,0.0701,-0.827,0.3851,-0.2713
price_vs_vwap_pct,1030,STRUCTURE_FAIL,-0.1471,-0.2566,1.1495,0.5155
minutes_low_to_vwap_reclaim,1030,FAILED_BREAKOUT,-0.1759,-5.0,12.5,5.0
minutes_low_to_vwap_reclaim,1030,STRUCTURE_FAIL,-0.1226,-5.0,15.0,5.0
pct_bars_above_vwap_since_low,1030,FAILED_BREAKOUT,0.0309,-22.6208,19.2447,0.835
pct_bars_above_vwap_since_low,1030,STRUCTURE_FAIL,-0.1314,-11.1126,39.4,17.495
vwap_rebreak_count_after_low,1030,FAILED_BREAKOUT,-0.0631,-1.0,1.0,0.0
vwap_rebreak_count_after_low,1030,STRUCTURE_FAIL,0.0098,-1.0,1.0,0.0
vwap_reclaim_count_after_low,1030,FAILED_BREAKOUT,-0.0219,0.0,1.0,0.0
vwap_reclaim_count_after_low,1030,STRUCTURE_FAIL,-0.0863,0.0,1.0,0.0
closest_high_to_s1_pct_so_far,1030,FAILED_BREAKOUT,0.0384,-1.8016,1.7342,0.5621
closest_high_to_s1_pct_so_far,1030,STRUCTURE_FAIL,-0.3245,0.0251,4.9198,2.4463
number_of_intraday_local_highs,1030,FAILED_BREAKOUT,0.0696,-1.0,1.0,0.0
number_of_intraday_local_highs,1030,STRUCTURE_FAIL,0.0485,-1.0,1.0,0.0
local_high_progression_pct,1030,FAILED_BREAKOUT,-0.0057,-0.654,1.0869,0.0007
local_high_progression_pct,1030,STRUCTURE_FAIL,0.2255,-2.207,-0.3914,-1.3035
high_progression_pct,1030,FAILED_BREAKOUT,-0.0057,-0.654,1.0869,0.0007
high_progression_pct,1030,STRUCTURE_FAIL,0.2255,-2.207,-0.3914,-1.3035
probe_v01_compat,1030,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
probe_v01_compat,1030,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
continuous_s1_approach,1030,FAILED_BREAKOUT,0.0384,-1.8016,1.7342,0.5621
continuous_s1_approach,1030,STRUCTURE_FAIL,-0.3245,0.0251,4.9198,2.4463
cum_volume,1030,FAILED_BREAKOUT,-0.101,-3525565.2,21189901.8375,10891565.5
cum_volume,1030,STRUCTURE_FAIL,-0.0588,-9017557.3625,13952292.7,2093778.5
cum_volume_vs_D1_ratio,1030,FAILED_BREAKOUT,0.3052,-0.2424,0.0052,-0.1385
cum_volume_vs_D1_ratio,1030,STRUCTURE_FAIL,0.4167,-0.4137,-0.0833,-0.2319
cum_volume_vs_anchor_ratio,1030,FAILED_BREAKOUT,0.2943,-0.242,0.0341,-0.1212
cum_volume_vs_anchor_ratio,1030,STRUCTURE_FAIL,0.3598,-0.4598,-0.0279,-0.2137
volume_since_session_low,1030,FAILED_BREAKOUT,-0.0696,-3917884.6125,16302814.0875,3217602.0
volume_since_session_low,1030,STRUCTURE_FAIL,-0.0382,-8654468.8625,13772661.475,2806527.0
volume_on_recovery,1030,FAILED_BREAKOUT,-0.0841,-1815047.35,12803718.0,6437424.5
volume_on_recovery,1030,STRUCTURE_FAIL,-0.0483,-5002647.9625,12275064.225,3341567.5
return_from_open_pct,1030,FAILED_BREAKOUT,0.0258,-1.0977,0.9502,-0.1258
return_from_open_pct,1030,STRUCTURE_FAIL,-0.0123,-1.0359,1.0854,-0.1234
return_from_prev_close_pct,1030,FAILED_BREAKOUT,-0.0856,-1.1639,1.4607,0.4135
return_from_prev_close_pct,1030,STRUCTURE_FAIL,-0.1554,-0.643,2.2383,0.8739
session_range_pct,1030,FAILED_BREAKOUT,0.3175,-1.4328,-0.2444,-1.0143
session_range_pct,1030,STRUCTURE_FAIL,0.4784,-2.4136,-0.618,-1.4797
close_location_so_far,1030,FAILED_BREAKOUT,0.0719,-0.2086,0.0968,-0.021
close_location_so_far,1030,STRUCTURE_FAIL,-0.1819,-0.048,0.3083,0.15
high_from_open_pct,1030,FAILED_BREAKOUT,-0.0057,-0.654,1.0869,0.0007
high_from_open_pct,1030,STRUCTURE_FAIL,0.2255,-2.207,-0.3914,-1.3035
low_from_open_pct,1030,FAILED_BREAKOUT,-0.1804,-0.0743,1.049,0.618
low_from_open_pct,1030,STRUCTURE_FAIL,-0.0941,-0.5047,0.6413,0.0463
lower_shadow_proxy_so_far_pct,1030,FAILED_BREAKOUT,0.017,-0.676,0.6334,0.1862
lower_shadow_proxy_so_far_pct,1030,STRUCTURE_FAIL,0.0186,-0.5752,0.6959,0.2772
upper_shadow_proxy_so_far_pct,1030,FAILED_BREAKOUT,-0.1392,-0.2641,1.0828,0.2409
upper_shadow_proxy_so_far_pct,1030,STRUCTURE_FAIL,0.1956,-1.598,0.1804,-0.8259
checkpoint_close,1030,FAILED_BREAKOUT,0.2768,-10.1475,-0.64,-5.48
checkpoint_close,1030,STRUCTURE_FAIL,0.0676,-5.3781,4.7007,-0.36
session_low_price,1030,FAILED_BREAKOUT,0.2735,-9.8235,-0.2943,-5.21
session_low_price,1030,STRUCTURE_FAIL,0.0618,-5.3608,4.6331,-0.08
session_high_price,1030,FAILED_BREAKOUT,0.283,-10.6192,-0.5948,-5.6
session_high_price,1030,STRUCTURE_FAIL,0.0824,-5.6571,4.7244,-0.5
vwap_price,1030,FAILED_BREAKOUT,0.2794,-10.1707,-0.5322,-5.4955
vwap_price,1030,STRUCTURE_FAIL,0.0706,-5.4874,4.6609,-0.4888
s1,1130,FAILED_BREAKOUT,0.2789,-11.062,-0.7311,-5.77
s1,1130,STRUCTURE_FAIL,0.0941,-6.0909,5.175,-0.52
invalid,1130,FAILED_BREAKOUT,0.282,-9.8599,-0.6459,-5.31
invalid,1130,STRUCTURE_FAIL,0.0672,-5.34,4.891,-0.09
D1_close,1130,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
D1_close,1130,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
D1_volume,1130,FAILED_BREAKOUT,-0.2211,-3454678.55,38190319.5,10792861.0
D1_volume,1130,STRUCTURE_FAIL,-0.2569,-3970581.0,37121887.6625,13925971.0
D1_upper_shadow_pct,1130,FAILED_BREAKOUT,-0.3211,0.0,2.0661,1.6802
D1_upper_shadow_pct,1130,STRUCTURE_FAIL,-0.3113,0.0,2.0903,1.6802
D1_close_location,1130,FAILED_BREAKOUT,0.332,-0.8955,0.0,-0.778
D1_close_location,1130,STRUCTURE_FAIL,0.2162,-0.8955,0.0,-0.778
dist_D1_close_to_s1_pct,1130,FAILED_BREAKOUT,0.1113,-2.098,1.2709,-0.6515
dist_D1_close_to_s1_pct,1130,STRUCTURE_FAIL,-0.2147,-0.3001,3.7519,1.7283
dist_D1_close_to_support_pct,1130,FAILED_BREAKOUT,0.0191,-1.0612,2.1712,0.4696
dist_D1_close_to_support_pct,1130,STRUCTURE_FAIL,0.0265,-2.1346,2.0619,-0.1134
dist_D1_close_to_invalid_pct,1130,FAILED_BREAKOUT,-0.0119,-1.4637,2.5018,0.9613
dist_D1_close_to_invalid_pct,1130,STRUCTURE_FAIL,0.0098,-2.0201,2.2019,-0.2458
pullback_volume_dry_up_pre_D0,1130,FAILED_BREAKOUT,0.0949,-0.2766,0.1581,-0.0514
pullback_volume_dry_up_pre_D0,1130,STRUCTURE_FAIL,-0.084,-0.1624,0.3217,0.1349
probe_count_pre_D0,1130,FAILED_BREAKOUT,-0.108,0.0,0.5,0.0
probe_count_pre_D0,1130,STRUCTURE_FAIL,-0.0608,0.0,0.5,0.0
closest_high_to_s1_pre_D0_pct,1130,FAILED_BREAKOUT,0.2183,-5.2386,2.0274,-2.2685
closest_high_to_s1_pre_D0_pct,1130,STRUCTURE_FAIL,0.008,-4.2453,4.6295,-0.1115
pre_D0_min_low,1130,FAILED_BREAKOUT,0.2983,-26.27,2.2215,-6.44
pre_D0_min_low,1130,STRUCTURE_FAIL,0.072,-6.731,7.0,0.645
d0_open,1130,FAILED_BREAKOUT,0.2799,-10.1028,-0.599,-4.89
d0_open,1130,STRUCTURE_FAIL,0.0706,-5.6779,4.53,-0.12
prev_close,1130,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
prev_close,1130,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
anchor_volume,1130,FAILED_BREAKOUT,-0.2124,-783196.0,29472921.8,10431811.0
anchor_volume,1130,STRUCTURE_FAIL,-0.2196,-6820401.675,29799121.975,10549477.0
price_to_s1_pct,1130,FAILED_BREAKOUT,0.1363,-2.5494,0.3978,-0.7651
price_to_s1_pct,1130,STRUCTURE_FAIL,-0.2833,-1.001,3.1326,1.1833
session_high_to_s1_pct,1130,FAILED_BREAKOUT,0.1366,-1.6878,0.8168,-0.1795
session_high_to_s1_pct,1130,STRUCTURE_FAIL,-0.1304,-1.1229,2.4569,0.7319
best_distance_to_s1_so_far_pct,1130,FAILED_BREAKOUT,0.0485,-1.7744,1.5027,0.287
best_distance_to_s1_so_far_pct,1130,STRUCTURE_FAIL,-0.3235,-0.0461,4.6356,2.4954
s1_cross_count_so_far,1130,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_cross_count_so_far,1130,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1130,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1130,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
price_to_support_pct,1130,FAILED_BREAKOUT,-0.0077,-0.9128,0.9984,0.1837
price_to_support_pct,1130,STRUCTURE_FAIL,-0.0951,-0.5357,1.7458,0.8483
price_to_invalid_pct,1130,FAILED_BREAKOUT,-0.0356,-0.8339,1.3131,0.385
price_to_invalid_pct,1130,STRUCTURE_FAIL,-0.1206,-0.369,1.7598,0.9699
session_low_to_support_pct,1130,FAILED_BREAKOUT,-0.1655,-0.3041,1.9179,0.8207
session_low_to_support_pct,1130,STRUCTURE_FAIL,-0.2059,-0.3862,2.3801,1.3339
minutes_since_support_touch,1130,FAILED_BREAKOUT,0.026,0.0,0.0,0.0
minutes_since_support_touch,1130,STRUCTURE_FAIL,-0.0556,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1130,FAILED_BREAKOUT,-0.052,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1130,STRUCTURE_FAIL,0.0495,-5.0,0.0,0.0
price_after_support_reclaim_pct,1130,FAILED_BREAKOUT,0.1724,-1.6351,0.7157,-0.8584
price_after_support_reclaim_pct,1130,STRUCTURE_FAIL,0.1064,-1.3351,1.1111,-0.2395
drawdown_from_open_pct,1130,FAILED_BREAKOUT,-0.15,-0.0997,1.1543,0.5301
drawdown_from_open_pct,1130,STRUCTURE_FAIL,-0.1314,-0.4653,1.0839,0.1071
session_low_pct_vs_prev_close,1130,FAILED_BREAKOUT,-0.2655,-0.2267,1.787,0.5672
session_low_pct_vs_prev_close,1130,STRUCTURE_FAIL,-0.3373,-0.0274,2.1396,0.6477
recovery_from_session_low_pct,1130,FAILED_BREAKOUT,0.25,-1.7782,-0.0084,-0.9621
recovery_from_session_low_pct,1130,STRUCTURE_FAIL,0.1593,-1.638,0.4755,-0.7502
recovery_fraction_of_drawdown,1130,FAILED_BREAKOUT,-0.0745,-0.1603,0.7481,0.1937
recovery_fraction_of_drawdown,1130,STRUCTURE_FAIL,-0.0408,-0.6667,0.976,0.0617
minutes_low_to_open_reclaim,1130,FAILED_BREAKOUT,0.04,0.0,0.0,0.0
minutes_low_to_open_reclaim,1130,STRUCTURE_FAIL,-0.0927,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1130,FAILED_BREAKOUT,-0.0732,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1130,STRUCTURE_FAIL,-0.0484,0.0,0.0,0.0
price_vs_vwap_pct,1130,FAILED_BREAKOUT,0.1216,-1.0109,0.479,-0.4108
price_vs_vwap_pct,1130,STRUCTURE_FAIL,-0.05,-0.6585,1.1698,0.0296
minutes_low_to_vwap_reclaim,1130,FAILED_BREAKOUT,0.0492,-10.0,10.0,0.0
minutes_low_to_vwap_reclaim,1130,STRUCTURE_FAIL,0.0845,-21.3125,15.0,0.0
pct_bars_above_vwap_since_low,1130,FAILED_BREAKOUT,0.0809,-37.899,20.3954,-14.585
pct_bars_above_vwap_since_low,1130,STRUCTURE_FAIL,-0.1593,-8.9577,46.425,18.755
vwap_rebreak_count_after_low,1130,FAILED_BREAKOUT,0.057,-1.0,0.0,0.0
vwap_rebreak_count_after_low,1130,STRUCTURE_FAIL,0.0348,-1.0,1.0,0.0
vwap_reclaim_count_after_low,1130,FAILED_BREAKOUT,0.1232,-1.0,0.0,0.0
vwap_reclaim_count_after_low,1130,STRUCTURE_FAIL,0.0186,-1.0,1.0,0.0
closest_high_to_s1_pct_so_far,1130,FAILED_BREAKOUT,0.0485,-1.7744,1.5027,0.287
closest_high_to_s1_pct_so_far,1130,STRUCTURE_FAIL,-0.3235,-0.0461,4.6356,2.4954
number_of_intraday_local_highs,1130,FAILED_BREAKOUT,0.074,-1.0,0.0,0.0
number_of_intraday_local_highs,1130,STRUCTURE_FAIL,-0.026,-1.0,1.0,0.0
local_high_progression_pct,1130,FAILED_BREAKOUT,-0.0057,-0.657,1.0013,0.0116
local_high_progression_pct,1130,STRUCTURE_FAIL,0.1775,-2.0323,-0.0967,-1.0963
high_progression_pct,1130,FAILED_BREAKOUT,-0.0057,-0.657,1.0013,0.0116
high_progression_pct,1130,STRUCTURE_FAIL,0.1775,-2.0323,-0.0967,-1.0963
probe_v01_compat,1130,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
probe_v01_compat,1130,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
continuous_s1_approach,1130,FAILED_BREAKOUT,0.0485,-1.7744,1.5027,0.287
continuous_s1_approach,1130,STRUCTURE_FAIL,-0.3235,-0.0461,4.6356,2.4954
cum_volume,1130,FAILED_BREAKOUT,-0.1041,-4348155.7625,24994090.9625,14977363.5
cum_volume,1130,STRUCTURE_FAIL,-0.0863,-9821370.15,16743813.1,5982508.5
cum_volume_vs_D1_ratio,1130,FAILED_BREAKOUT,0.3131,-0.2997,-0.008,-0.1877
cum_volume_vs_D1_ratio,1130,STRUCTURE_FAIL,0.401,-0.4653,-0.0616,-0.2477
cum_volume_vs_anchor_ratio,1130,FAILED_BREAKOUT,0.2995,-0.2958,0.0639,-0.147
cum_volume_vs_anchor_ratio,1130,STRUCTURE_FAIL,0.3373,-0.5634,0.0033,-0.2248
volume_since_session_low,1130,FAILED_BREAKOUT,-0.0335,-5668784.4125,20586815.775,6244075.0
volume_since_session_low,1130,STRUCTURE_FAIL,-0.0529,-11366556.95,18933081.7875,1461031.0
volume_on_recovery,1130,FAILED_BREAKOUT,-0.0148,-3079230.625,10492662.95,3147485.5
volume_on_recovery,1130,STRUCTURE_FAIL,0.0392,-7805024.225,8495374.05,-981140.5
return_from_open_pct,1130,FAILED_BREAKOUT,0.0737,-1.3338,0.7639,-0.4659
return_from_open_pct,1130,STRUCTURE_FAIL,0.002,-1.6005,1.5644,-0.0974
return_from_prev_close_pct,1130,FAILED_BREAKOUT,-0.05,-1.3751,1.3694,-0.0702
return_from_prev_close_pct,1130,STRUCTURE_FAIL,-0.1225,-0.9592,2.4199,0.858
session_range_pct,1130,FAILED_BREAKOUT,0.2655,-1.5128,0.1832,-0.7815
session_range_pct,1130,STRUCTURE_FAIL,0.4167,-2.0783,-0.2937,-1.1457
close_location_so_far,1130,FAILED_BREAKOUT,0.1278,-0.283,0.009,-0.0885
close_location_so_far,1130,STRUCTURE_FAIL,-0.0887,-0.1255,0.1818,0.0895
high_from_open_pct,1130,FAILED_BREAKOUT,-0.0057,-0.657,1.0013,0.0116
high_from_open_pct,1130,STRUCTURE_FAIL,0.1775,-2.0323,-0.0967,-1.0963
low_from_open_pct,1130,FAILED_BREAKOUT,-0.15,-0.0997,1.1543,0.5301
low_from_open_pct,1130,STRUCTURE_FAIL,-0.1314,-0.4653,1.0839,0.1071
lower_shadow_proxy_so_far_pct,1130,FAILED_BREAKOUT,0.116,-0.6465,0.3918,-0.1694
lower_shadow_proxy_so_far_pct,1130,STRUCTURE_FAIL,0.0824,-0.4459,0.5276,0.0057
upper_shadow_proxy_so_far_pct,1130,FAILED_BREAKOUT,-0.0624,-0.5786,0.8436,0.1503
upper_shadow_proxy_so_far_pct,1130,STRUCTURE_FAIL,0.1931,-1.8986,0.4743,-0.5838
checkpoint_close,1130,FAILED_BREAKOUT,0.2791,-10.3075,-0.7038,-5.555
checkpoint_close,1130,STRUCTURE_FAIL,0.0627,-5.3631,4.8661,-0.545
session_low_price,1130,FAILED_BREAKOUT,0.2735,-9.8235,-0.2943,-5.21
session_low_price,1130,STRUCTURE_FAIL,0.0618,-5.2809,4.6331,-0.08
session_high_price,1130,FAILED_BREAKOUT,0.2822,-10.6572,-0.6948,-5.6
session_high_price,1130,STRUCTURE_FAIL,0.0814,-5.6424,4.7244,-0.5
vwap_price,1130,FAILED_BREAKOUT,0.2789,-10.2327,-0.5874,-5.5207
vwap_price,1130,STRUCTURE_FAIL,0.0696,-5.4971,4.6997,-0.5351
s1,1330,FAILED_BREAKOUT,0.2789,-11.062,-0.7311,-5.77
s1,1330,STRUCTURE_FAIL,0.0941,-6.0909,5.175,-0.52
invalid,1330,FAILED_BREAKOUT,0.282,-9.8599,-0.6459,-5.31
invalid,1330,STRUCTURE_FAIL,0.0672,-5.34,4.891,-0.09
D1_close,1330,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
D1_close,1330,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
D1_volume,1330,FAILED_BREAKOUT,-0.2211,-3454678.55,38190319.5,10792861.0
D1_volume,1330,STRUCTURE_FAIL,-0.2569,-3970581.0,37121887.6625,13925971.0
D1_upper_shadow_pct,1330,FAILED_BREAKOUT,-0.3211,0.0,2.0661,1.6802
D1_upper_shadow_pct,1330,STRUCTURE_FAIL,-0.3113,0.0,2.0903,1.6802
D1_close_location,1330,FAILED_BREAKOUT,0.332,-0.8955,0.0,-0.778
D1_close_location,1330,STRUCTURE_FAIL,0.2162,-0.8955,0.0,-0.778
dist_D1_close_to_s1_pct,1330,FAILED_BREAKOUT,0.1113,-2.098,1.2709,-0.6515
dist_D1_close_to_s1_pct,1330,STRUCTURE_FAIL,-0.2147,-0.3001,3.7519,1.7283
dist_D1_close_to_support_pct,1330,FAILED_BREAKOUT,0.0191,-1.0612,2.1712,0.4696
dist_D1_close_to_support_pct,1330,STRUCTURE_FAIL,0.0265,-2.1346,2.0619,-0.1134
dist_D1_close_to_invalid_pct,1330,FAILED_BREAKOUT,-0.0119,-1.4637,2.5018,0.9613
dist_D1_close_to_invalid_pct,1330,STRUCTURE_FAIL,0.0098,-2.0201,2.2019,-0.2458
pullback_volume_dry_up_pre_D0,1330,FAILED_BREAKOUT,0.0949,-0.2766,0.1581,-0.0514
pullback_volume_dry_up_pre_D0,1330,STRUCTURE_FAIL,-0.084,-0.1624,0.3217,0.1349
probe_count_pre_D0,1330,FAILED_BREAKOUT,-0.108,0.0,0.5,0.0
probe_count_pre_D0,1330,STRUCTURE_FAIL,-0.0608,0.0,0.5,0.0
closest_high_to_s1_pre_D0_pct,1330,FAILED_BREAKOUT,0.2183,-5.2386,2.0274,-2.2685
closest_high_to_s1_pre_D0_pct,1330,STRUCTURE_FAIL,0.008,-4.2453,4.6295,-0.1115
pre_D0_min_low,1330,FAILED_BREAKOUT,0.2983,-26.27,2.2215,-6.44
pre_D0_min_low,1330,STRUCTURE_FAIL,0.072,-6.731,7.0,0.645
d0_open,1330,FAILED_BREAKOUT,0.2799,-10.1028,-0.599,-4.89
d0_open,1330,STRUCTURE_FAIL,0.0706,-5.6779,4.53,-0.12
prev_close,1330,FAILED_BREAKOUT,0.283,-9.8569,-0.4948,-4.83
prev_close,1330,STRUCTURE_FAIL,0.0721,-5.5991,4.55,-0.34
anchor_volume,1330,FAILED_BREAKOUT,-0.2124,-783196.0,29472921.8,10431811.0
anchor_volume,1330,STRUCTURE_FAIL,-0.2196,-6820401.675,29799121.975,10549477.0
price_to_s1_pct,1330,FAILED_BREAKOUT,0.0711,-2.4082,1.0286,-0.6515
price_to_s1_pct,1330,STRUCTURE_FAIL,-0.3716,-0.5041,4.0565,1.5447
session_high_to_s1_pct,1330,FAILED_BREAKOUT,0.1371,-1.909,0.9853,-0.4042
session_high_to_s1_pct,1330,STRUCTURE_FAIL,-0.1578,-1.1834,2.7268,0.6932
best_distance_to_s1_so_far_pct,1330,FAILED_BREAKOUT,0.0381,-1.7205,1.5098,0.1466
best_distance_to_s1_so_far_pct,1330,STRUCTURE_FAIL,-0.3245,-0.0447,4.6287,2.1778
s1_cross_count_so_far,1330,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_cross_count_so_far,1330,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1330,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
s1_reject_count_so_far,1330,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
price_to_support_pct,1330,FAILED_BREAKOUT,-0.0474,-0.7979,1.1398,0.4409
price_to_support_pct,1330,STRUCTURE_FAIL,-0.2225,-0.2949,2.1548,1.2155
price_to_invalid_pct,1330,FAILED_BREAKOUT,-0.0835,-0.3664,1.3453,0.2302
price_to_invalid_pct,1330,STRUCTURE_FAIL,-0.2451,-0.0673,2.2744,0.9107
session_low_to_support_pct,1330,FAILED_BREAKOUT,-0.1753,-0.2585,1.9179,0.8207
session_low_to_support_pct,1330,STRUCTURE_FAIL,-0.2088,-0.3862,2.3822,1.3339
minutes_since_support_touch,1330,FAILED_BREAKOUT,0.0103,0.0,0.0,0.0
minutes_since_support_touch,1330,STRUCTURE_FAIL,-0.1053,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1330,FAILED_BREAKOUT,-0.0116,0.0,0.0,0.0
minutes_from_support_low_to_reclaim,1330,STRUCTURE_FAIL,0.1146,-5.0,0.0,0.0
price_after_support_reclaim_pct,1330,FAILED_BREAKOUT,0.0449,-1.1835,1.0789,-0.3358
price_after_support_reclaim_pct,1330,STRUCTURE_FAIL,-0.2227,-0.3816,2.0492,0.5257
drawdown_from_open_pct,1330,FAILED_BREAKOUT,-0.149,-0.1052,1.1386,0.4751
drawdown_from_open_pct,1330,STRUCTURE_FAIL,-0.1294,-0.6131,1.1213,0.1333
session_low_pct_vs_prev_close,1330,FAILED_BREAKOUT,-0.2562,-0.3794,1.7212,0.5672
session_low_pct_vs_prev_close,1330,STRUCTURE_FAIL,-0.3373,-0.0113,2.0969,0.8476
recovery_from_session_low_pct,1330,FAILED_BREAKOUT,0.2082,-2.1134,0.3415,-0.4784
recovery_from_session_low_pct,1330,STRUCTURE_FAIL,-0.0088,-1.0451,1.3995,0.7469
recovery_fraction_of_drawdown,1330,FAILED_BREAKOUT,-0.0377,-0.6013,0.8653,0.2293
recovery_fraction_of_drawdown,1330,STRUCTURE_FAIL,-0.0863,-0.6414,0.9946,0.272
minutes_low_to_open_reclaim,1330,FAILED_BREAKOUT,0.0989,0.0,0.0,0.0
minutes_low_to_open_reclaim,1330,STRUCTURE_FAIL,-0.0028,0.0,0.0,0.0
minutes_low_to_prev_close_reclaim,1330,FAILED_BREAKOUT,-0.0301,0.0,5.0,0.0
minutes_low_to_prev_close_reclaim,1330,STRUCTURE_FAIL,-0.0101,-5.0,5.0,0.0
price_vs_vwap_pct,1330,FAILED_BREAKOUT,0.0714,-0.9513,0.4134,-0.3136
price_vs_vwap_pct,1330,STRUCTURE_FAIL,-0.2118,-0.3571,1.5015,0.555
minutes_low_to_vwap_reclaim,1330,FAILED_BREAKOUT,0.0036,-10.0,10.0,2.5
minutes_low_to_vwap_reclaim,1330,STRUCTURE_FAIL,0.0078,-20.0,15.0,-2.5
pct_bars_above_vwap_since_low,1330,FAILED_BREAKOUT,0.0936,-36.66,18.5987,-16.46
pct_bars_above_vwap_since_low,1330,STRUCTURE_FAIL,-0.1647,-10.0,44.1972,12.51
vwap_rebreak_count_after_low,1330,FAILED_BREAKOUT,0.066,-1.0,1.0,0.0
vwap_rebreak_count_after_low,1330,STRUCTURE_FAIL,0.0588,-1.5,1.0,0.0
vwap_reclaim_count_after_low,1330,FAILED_BREAKOUT,0.1,-1.0,1.0,-1.0
vwap_reclaim_count_after_low,1330,STRUCTURE_FAIL,0.0123,-1.0,1.0,0.0
closest_high_to_s1_pct_so_far,1330,FAILED_BREAKOUT,0.0381,-1.7205,1.5098,0.1466
closest_high_to_s1_pct_so_far,1330,STRUCTURE_FAIL,-0.3245,-0.0447,4.6287,2.1778
number_of_intraday_local_highs,1330,FAILED_BREAKOUT,0.0675,-1.5,1.0,0.0
number_of_intraday_local_highs,1330,STRUCTURE_FAIL,-0.0863,-1.0,2.0,0.0
local_high_progression_pct,1330,FAILED_BREAKOUT,0.0149,-0.8429,0.883,-0.1982
local_high_progression_pct,1330,STRUCTURE_FAIL,0.151,-1.9109,0.0749,-0.9443
high_progression_pct,1330,FAILED_BREAKOUT,0.0149,-0.8429,0.883,-0.1982
high_progression_pct,1330,STRUCTURE_FAIL,0.151,-1.9109,0.0749,-0.9443
