baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,auc_3d_signal,effect_3d_signal,direction_match_3d,auc_5d_signal,effect_5d_signal,direction_match_5d,auc_3d_nonsignal,auc_5d_nonsignal,incremental_classification,sensitivity_note
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.5997845202717382,0.09978452027173823,True,0.5895079558234343,0.0895079558234343,True,0.5550357069739995,0.5855367297883567,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,0.5967390249874116,0.0967390249874116,True,0.5859057093156897,0.08590570931568975,True,0.5979515912147019,0.5948976714905319,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,0.5967390249874116,0.0967390249874116,True,0.5859057093156897,0.08590570931568975,True,0.5979515912147019,0.5948976714905319,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,0.5633393234135142,0.06333932341351423,True,0.558749184605349,0.05874918460534895,True,0.5617929179740027,0.5602423132924714,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,0.5633393234135142,0.06333932341351423,True,0.558749184605349,0.05874918460534895,True,0.5617929179740027,0.5602423132924714,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.42221997070987116,0.07778002929012884,True,0.40993238304093566,0.09006761695906434,True,0.4405606009410984,0.42830684573281386,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.42221997070987116,0.07778002929012884,True,0.40993238304093566,0.09006761695906434,True,0.4405606009410984,0.42830684573281386,INCREMENTAL_SUPPORTED,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.5049484574082492,0.004948457408249229,False,0.4947839941492974,0.0052160058507025875,True,0.43169556765531003,0.4299947523182147,NO_INCREMENTAL_VALUE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.5049484574082492,0.004948457408249229,False,0.4947839941492974,0.0052160058507025875,True,0.43169556765531003,0.4299947523182147,NO_INCREMENTAL_VALUE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.503464841686223,0.0034648416862229636,False,0.49440526563234605,0.005594734367653953,True,0.4438130906045779,0.4411541381928626,NO_INCREMENTAL_VALUE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.503464841686223,0.0034648416862229636,False,0.49440526563234605,0.005594734367653953,True,0.4438130906045779,0.4411541381928626,NO_INCREMENTAL_VALUE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.514764803949562,0.014764803949562033,True,0.5294029344193818,0.0294029344193818,True,0.5527955677412865,0.5461290284752699,INCREMENTAL_WEAK,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.514764803949562,0.014764803949562033,True,0.5294029344193818,0.0294029344193818,True,0.5527955677412865,0.5461290284752699,INCREMENTAL_WEAK,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,0.6739079102715466,0.17390791027154662,True,0.6628333333333334,0.16283333333333339,True,0.5779333742659677,0.5703884494290711,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,0.675516917293233,0.17551691729323304,True,0.664469320066335,0.16446932006633497,True,0.578825211730748,0.5712346149800126,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,0.612349468713105,0.11234946871310503,True,0.5998125,0.09981249999999997,True,0.5470308096789936,0.5437840522341187,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,0.6142152255639097,0.11421522556390973,True,0.601679104477612,0.10167910447761197,True,0.5486579611851625,0.5452188091731538,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.4559026182820395,0.044097381717960515,True,0.45004051863857375,0.04995948136142625,True,0.4088954875055049,0.397884185312078,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.4559026182820395,0.044097381717960515,True,0.45004051863857375,0.04995948136142625,True,0.4088954875055049,0.397884185312078,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.5012402388608176,0.0012402388608175885,False,0.4963128038897893,0.0036871961102106776,True,0.4039052364183465,0.40108866145889954,NO_INCREMENTAL_VALUE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.5012402388608176,0.0012402388608175885,False,0.4963128038897893,0.0036871961102106776,True,0.4039052364183465,0.40108866145889954,NO_INCREMENTAL_VALUE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.5054662379421222,0.0054662379421221985,False,0.5119124797406807,0.01191247974068066,False,0.41126260588947156,0.4075162825919919,NO_INCREMENTAL_VALUE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.5054662379421222,0.0054662379421221985,False,0.5119124797406807,0.01191247974068066,False,0.41126260588947156,0.4075162825919919,NO_INCREMENTAL_VALUE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,0.5525264124942582,0.05252641249425816,True,0.544935170178282,0.04493517017828197,True,0.5880653699076921,0.5884343178347107,INCREMENTAL_SUPPORTED,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,0.5525264124942582,0.05252641249425816,True,0.544935170178282,0.04493517017828197,True,0.5880653699076921,0.5884343178347107,INCREMENTAL_SUPPORTED,
