target,sample_family,model_id,predictor,coefficient,coefficient_sign,expected_direction,direction_match,odds_ratio,ci_low,ci_high,ci_type
outcome_5d,CORE_LADDER,M1,B6,0.5096105727408199,POSITIVE,N/A,,1.664642811417406,0.2794863501339994,0.7397347953476403,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M1,B7,0.059216105594442923,POSITIVE,N/A,,1.0610045049758792,-0.3008524942572233,0.41928470544610913,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M1,median_range_ratio,-0.5491956840071899,NEGATIVE,NEGATIVE,True,0.5774140470114707,-0.8815009341832392,-0.2168904338311406,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M2,B4,0.18948897426574185,POSITIVE,N/A,,1.2086317978629488,-0.042388408318330434,0.42136635684981416,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M2,B5,0.32950643923663775,POSITIVE,N/A,,1.3902817705660804,0.06182296304096935,0.5971899154323062,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M2,B6,0.4209844600056472,POSITIVE,N/A,,1.5234606036556242,0.17694508178161494,0.6650238382296795,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M2,B7,0.030076189840034025,POSITIVE,N/A,,1.0305330471105356,-0.33058510564454496,0.390737485324613,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M2,median_range_ratio,-0.5085454262730579,NEGATIVE,NEGATIVE,True,0.601369679472161,-0.8407335983580216,-0.17635725418809411,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M2,quiet_days_n,0.0779149069040481,POSITIVE,POSITIVE,True,1.0810306665099576,0.011461478879753975,0.14436833492834222,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,B4,0.007268865191496773,POSITIVE,N/A,,1.0072953475186852,-0.2848614621607102,0.29939919254370373,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,B5,0.3808888285387327,POSITIVE,N/A,,1.4635848874944704,0.11266721219865117,0.6491104448788142,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,B6,0.26262492489370004,POSITIVE,N/A,,1.3003389027214167,-0.008383055103385051,0.5336329048907851,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,B7,-0.008694260724944117,NEGATIVE,N/A,,0.9913434250640568,-0.3716631566684745,0.35427463521858626,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,pullback_volume_ratio,0.4104718227054013,POSITIVE,NEGATIVE,False,1.507528903704529,-0.15260468273457806,0.9735483281453806,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,min_volume_ratio,-0.7367236705714989,NEGATIVE,NEGATIVE,True,0.47867966143230356,-1.377572459134078,-0.09587488200891969,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,median_range_ratio,-0.36402705255603673,NEGATIVE,NEGATIVE,True,0.694872396414198,-0.6995181273912958,-0.028535977720777594,MODEL_BASED_NON_CLUSTERED
outcome_5d,CORE_LADDER,M3,quiet_days_n,0.050879672287794636,POSITIVE,POSITIVE,True,1.0521962772948128,-0.01984452298831456,0.12160386756390383,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M2_REF_A,B4,1.5500963312266687,POSITIVE,N/A,,4.711924066154072,-0.10132607466804222,3.2015187371213796,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M2_REF_A,B5,0.425658090620861,POSITIVE,N/A,,1.5305973600649943,0.11679430620185205,0.73452187503987,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M2_REF_A,B6,0.389913961173024,POSITIVE,N/A,,1.476853721654322,0.06737828039902327,0.7124496419470248,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M2_REF_A,B7,0.04601567551346477,POSITIVE,N/A,,1.04709082451461,-0.3435925585575035,0.435623909584433,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M2_REF_A,median_range_ratio,-0.11330140303815547,NEGATIVE,NEGATIVE,True,0.8928815023580466,-0.47964130481170864,0.25303849873539774,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M2_REF_A,quiet_days_n,0.15838014815534399,POSITIVE,POSITIVE,True,1.1716114960110606,0.021016290948722288,0.29574400536196566,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,B4,1.2432110821769518,POSITIVE,N/A,,3.4667275581535817,-0.39196020761303907,2.878382371966943,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,B5,0.24344568836901676,POSITIVE,N/A,,1.2756370340313619,-0.10425432083511049,0.591145697573144,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,B6,0.4010743020075307,POSITIVE,N/A,,1.4934282290931362,0.0787500484471017,0.7233985555679596,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,B7,0.13025646398070667,POSITIVE,N/A,,1.139120489240873,-0.26686633813206656,0.52737926609348,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,median_range_ratio,-0.058621732324503614,NEGATIVE,NEGATIVE,True,0.9430634321081234,-0.3620035342207436,0.24476006957173635,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,quiet_days_n,0.16355310356822061,POSITIVE,POSITIVE,True,1.1776878929562844,0.02810795096272417,0.29899825617371706,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6A,M4A,high_vs_pullback_high,4.236890585939876,POSITIVE,POSITIVE,True,69.19236927423795,0.3261196983668788,8.147661473512873,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M2_REF_B,B4,1.5500963312266687,POSITIVE,N/A,,4.711924066154072,-0.10132607466804222,3.2015187371213796,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M2_REF_B,B5,0.425658090620861,POSITIVE,N/A,,1.5305973600649943,0.11679430620185205,0.73452187503987,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M2_REF_B,B6,0.389913961173024,POSITIVE,N/A,,1.476853721654322,0.06737828039902327,0.7124496419470248,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M2_REF_B,B7,0.04601567551346477,POSITIVE,N/A,,1.04709082451461,-0.3435925585575035,0.435623909584433,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M2_REF_B,median_range_ratio,-0.11330140303815547,NEGATIVE,NEGATIVE,True,0.8928815023580466,-0.47964130481170864,0.25303849873539774,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M2_REF_B,quiet_days_n,0.15838014815534399,POSITIVE,POSITIVE,True,1.1716114960110606,0.021016290948722288,0.29574400536196566,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,B4,1.0708884399628014,POSITIVE,N/A,,2.917970790564117,-0.5086210722459068,2.6503979521715095,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,B5,0.022838132362714845,POSITIVE,N/A,,1.0231009192147955,-0.3381501901480996,0.38382645487352934,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,B6,0.4007776819652003,POSITIVE,N/A,,1.4929853140405935,0.07963338956909694,0.7219219743613037,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,B7,0.2280521972549879,POSITIVE,N/A,,1.2561508913495278,-0.17204520054850034,0.6281495950584761,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,median_range_ratio,0.002437448788609292,POSITIVE,NEGATIVE,False,1.0024404217819234,-0.18937168318943468,0.19424658076665327,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,quiet_days_n,0.1663829527414096,POSITIVE,POSITIVE,True,1.1810252920072435,0.032298620719836635,0.30046728476298257,MODEL_BASED_NON_CLUSTERED
outcome_3d,F6B,M4B,close_vs_pullback_high,7.971321294396251,POSITIVE,POSITIVE,True,2896.682206759945,3.9908238989820704,11.951818689810432,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M2_REF_A,B4,1.0670683261801504,POSITIVE,N/A,,2.906845074410564,-0.21775532805217357,2.351891980412474,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M2_REF_A,B5,0.32108419738056765,POSITIVE,N/A,,1.3786216523391503,0.037218205354262734,0.6049501894068725,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M2_REF_A,B6,0.37977841145424673,POSITIVE,N/A,,1.4619605998160943,0.08464725950825075,0.6749095634002427,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M2_REF_A,B7,0.041977773610640284,POSITIVE,N/A,,1.042871299229617,-0.3247363741190449,0.4086919213403255,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M2_REF_A,median_range_ratio,-0.2358688743654471,NEGATIVE,NEGATIVE,True,0.7898842412148442,-0.638525358349443,0.1667876096185488,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M2_REF_A,quiet_days_n,0.14020171395058878,POSITIVE,POSITIVE,True,1.150505848532495,0.025836927439493687,0.2545665004616839,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,B4,0.8112594936962716,POSITIVE,N/A,,2.250740996319877,-0.47522393888759407,2.0977429262801373,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,B5,0.162399967980992,POSITIVE,N/A,,1.1763306418339503,-0.15581566419228748,0.48061560015427146,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,B6,0.39038855874431005,POSITIVE,N/A,,1.4775547991954536,0.09474249654445716,0.686034620944163,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,B7,0.11159369949686383,POSITIVE,N/A,,1.1180585006166055,-0.26093139188206527,0.4841187908757929,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,median_range_ratio,-0.15962022435251663,NEGATIVE,NEGATIVE,True,0.8524674738853494,-0.5394204929056375,0.2201800442006043,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,quiet_days_n,0.1473759672448084,POSITIVE,POSITIVE,True,1.1587895480555686,0.033584903607804084,0.2611670308818127,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6A,M4A,high_vs_pullback_high,3.738216949930241,POSITIVE,POSITIVE,True,42.02299422132714,0.2017471576692058,7.274686742191276,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M2_REF_B,B4,1.0670683261801504,POSITIVE,N/A,,2.906845074410564,-0.21775532805217357,2.351891980412474,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M2_REF_B,B5,0.32108419738056765,POSITIVE,N/A,,1.3786216523391503,0.037218205354262734,0.6049501894068725,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M2_REF_B,B6,0.37977841145424673,POSITIVE,N/A,,1.4619605998160943,0.08464725950825075,0.6749095634002427,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M2_REF_B,B7,0.041977773610640284,POSITIVE,N/A,,1.042871299229617,-0.3247363741190449,0.4086919213403255,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M2_REF_B,median_range_ratio,-0.2358688743654471,NEGATIVE,NEGATIVE,True,0.7898842412148442,-0.638525358349443,0.1667876096185488,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M2_REF_B,quiet_days_n,0.14020171395058878,POSITIVE,POSITIVE,True,1.150505848532495,0.025836927439493687,0.2545665004616839,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,B4,0.6858210898624584,POSITIVE,N/A,,1.9854013593819542,-0.5709534946784494,1.9425956744033661,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,B5,-0.03565048890850197,NEGATIVE,N/A,,0.9649775048911322,-0.36576783318976036,0.2944668553727564,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,B6,0.3964331026933825,POSITIVE,N/A,,1.4865129909331116,0.10223433092389012,0.6906318744628749,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,B7,0.19358090309501322,POSITIVE,N/A,,1.2135875655700772,-0.18041601235181284,0.5675778185418393,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,median_range_ratio,-0.0430642725843983,NEGATIVE,NEGATIVE,True,0.9578498246048733,-0.3098666360503917,0.2237380908815951,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,quiet_days_n,0.15519502671909158,POSITIVE,POSITIVE,True,1.1678857078139253,0.04204588437241215,0.268344169065771,MODEL_BASED_NON_CLUSTERED
outcome_5d,F6B,M4B,close_vs_pullback_high,7.217712903985588,POSITIVE,POSITIVE,True,1363.3673402217653,3.601572518106208,10.833853289864969,MODEL_BASED_NON_CLUSTERED
