dimension,stratum,n,success_n,nonsuccess_n,auc,direction,effect,reportable,note,verdict,consistency,material_reversal_n,opposite_n,factor,role
board,SZ_MAIN,4018,176,3842,0.373287468647958,NEGATIVE,0.12671253135204202,True,,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
t0_position,LOW,263,9,254,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
t0_position,MID,1609,68,1541,0.42233843569874413,NEGATIVE,0.07766156430125587,True,,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
t0_position,HIGH,5125,263,4862,0.4373100618906926,NEGATIVE,0.0626899381093074,True,,DATA_LIMITED,,0,0,min_volume_ratio,PRIMARY
t0_gap_up,GAP_UP,4766,228,4538,0.41663960474124934,NEGATIVE,0.08336039525875066,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
t0_gap_up,NO_GAP_UP,3071,142,2929,0.40233651825600236,NEGATIVE,0.09766348174399764,True,,STABLE,1.0,0,0,min_volume_ratio,PRIMARY
year,2024,2050,108,1942,0.40935271007361634,NEGATIVE,0.09064728992638366,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
year,2025,3893,166,3727,0.42394315658124854,NEGATIVE,0.07605684341875146,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
year,2026,1895,96,1799,0.38943799796183065,NEGATIVE,0.11056200203816935,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2024Q3,868,58,810,0.4384418901660281,NEGATIVE,0.06155810983397192,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2024Q4,1182,50,1132,0.4135159010600707,NEGATIVE,0.08648409893992931,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2025Q1,1152,47,1105,0.45770674882064116,NEGATIVE,0.04229325117935884,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2025Q2,1057,44,1013,0.4453692901373059,NEGATIVE,0.05463070986269408,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2025Q3,751,26,725,0.3636604774535809,NEGATIVE,0.13633952254641912,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2025Q4,933,49,884,0.4058315633945886,NEGATIVE,0.09416843660541141,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2026Q1,596,39,557,0.34691340975003454,NEGATIVE,0.15308659024996546,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2026Q2,1001,50,951,0.44650893796004204,NEGATIVE,0.05349106203995796,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
quarter,2026Q3,298,7,291,,UNKNOWN,,False,GATE success_n<10,STABLE,1.0,0,0,median_range_ratio,PRIMARY
regime,RISK_ON,4168,240,3928,0.4352172437202987,NEGATIVE,0.06478275627970131,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
regime,RISK_OFF,3670,130,3540,0.3875901781833985,NEGATIVE,0.11240982181660147,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
regime,NEUTRAL,0,0,0,,UNKNOWN,,False,NO_ROWS,STABLE,1.0,0,0,median_range_ratio,PRIMARY
board,SH_MAIN,3820,194,3626,0.4362422595117735,NEGATIVE,0.06375774048822652,True,,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
board,SZ_MAIN,4018,176,3842,0.391958201220955,NEGATIVE,0.10804179877904502,True,,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
t0_position,LOW,263,9,254,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
t0_position,MID,1609,68,1541,0.38073061800969576,NEGATIVE,0.11926938199030424,True,,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
t0_position,HIGH,5126,263,4863,0.4288235289518354,NEGATIVE,0.0711764710481646,True,,DATA_LIMITED,,0,0,median_range_ratio,PRIMARY
t0_gap_up,GAP_UP,4766,228,4538,0.4056635777411797,NEGATIVE,0.09433642225882027,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
t0_gap_up,NO_GAP_UP,3072,142,2930,0.4238379079940393,NEGATIVE,0.07616209200596069,True,,STABLE,1.0,0,0,median_range_ratio,PRIMARY
year,2024,2050,108,1942,0.5443891368196209,POSITIVE,0.04438913681962087,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
year,2025,3893,166,3727,0.5859286353894246,POSITIVE,0.08592863538942463,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
year,2026,1895,96,1799,0.626024874930517,POSITIVE,0.12602487493051695,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2024Q3,868,58,810,0.5586206896551724,POSITIVE,0.05862068965517242,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2024Q4,1182,50,1132,0.5435865724381626,POSITIVE,0.04358657243816255,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2025Q1,1152,47,1105,0.6192644651968807,POSITIVE,0.11926446519688072,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2025Q2,1057,44,1013,0.5536211074216997,POSITIVE,0.053621107421699676,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2025Q3,751,26,725,0.5794164456233422,POSITIVE,0.07941644562334216,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2025Q4,933,49,884,0.5951034259857789,POSITIVE,0.09510342598577892,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2026Q1,596,39,557,0.6228421488744649,POSITIVE,0.12284214887446487,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2026Q2,1001,50,951,0.611882229232387,POSITIVE,0.111882229232387,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
quarter,2026Q3,298,7,291,,UNKNOWN,,False,GATE success_n<10,STABLE,1.0,0,0,quiet_days_n,PRIMARY
regime,RISK_ON,4168,240,3928,0.574847250509165,POSITIVE,0.07484725050916496,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
regime,RISK_OFF,3670,130,3540,0.6029432855280313,POSITIVE,0.10294328552803134,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
regime,NEUTRAL,0,0,0,,UNKNOWN,,False,NO_ROWS,STABLE,1.0,0,0,quiet_days_n,PRIMARY
board,SH_MAIN,3820,194,3626,0.5563513229198059,POSITIVE,0.056351322919805935,True,,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
board,SZ_MAIN,4018,176,3842,0.6146471712176423,POSITIVE,0.11464717121764234,True,,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
board,SZ_CHINEXT,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
board,SH_STAR,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
board,BSE,0,0,0,,UNKNOWN,,False,NO_ROWS,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
t0_position,LOW,263,9,254,,UNKNOWN,,False,GATE success_n<10,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
t0_position,MID,1609,68,1541,0.57083826392335,POSITIVE,0.07083826392335002,True,,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
t0_position,HIGH,5126,263,4863,0.5668190550357358,POSITIVE,0.06681905503573582,True,,DATA_LIMITED,,0,0,quiet_days_n,PRIMARY
t0_gap_up,GAP_UP,4766,228,4538,0.5822658370253532,POSITIVE,0.08226583702535317,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
t0_gap_up,NO_GAP_UP,3072,142,2930,0.5892864009998557,POSITIVE,0.08928640099985574,True,,STABLE,1.0,0,0,quiet_days_n,PRIMARY
year,2024,1189,60,1129,0.6021183938588721,POSITIVE,0.10211839385887211,True,,STABLE,1.0,0,0,high_vs_pullback_high,PRIMARY
year,2025,2112,102,2010,0.5400668227490001,POSITIVE,0.040066822749000086,True,,STABLE,1.0,0,0,high_vs_pullback_high,PRIMARY
year,2026,962,60,902,0.5343218773096822,POSITIVE,0.03432187730968217,True,,STABLE,1.0,0,0,high_vs_pullback_high,PRIMARY
