baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,4182,3829,3741,156,3585,0.3880359761112899,NEGATIVE,NEGATIVE,True,0.11196402388871007,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,4182,3829,3739,186,3553,0.3813678581480439,NEGATIVE,NEGATIVE,True,0.11863214185195609,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,4439,4200,4096,214,3882,0.4377163712702288,NEGATIVE,NEGATIVE,True,0.06228362872977122,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,4439,4200,4095,253,3842,0.43703769240740475,NEGATIVE,NEGATIVE,True,0.06296230759259525,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,4207,3829,3741,156,3585,0.3880359761112899,NEGATIVE,NEGATIVE,True,0.11196402388871007,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,4207,3829,3739,186,3553,0.3813678581480439,NEGATIVE,NEGATIVE,True,0.11863214185195609,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,4475,4200,4096,214,3882,0.4377163712702288,NEGATIVE,NEGATIVE,True,0.06228362872977122,IDENTIFIABLE,
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,4475,4200,4095,253,3842,0.43703769240740475,NEGATIVE,NEGATIVE,True,0.06296230759259525,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,4182,3829,3741,156,3585,0.38503558273432753,NEGATIVE,NEGATIVE,True,0.11496441726567247,IDENTIFIABLE,
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,4182,3829,3739,186,3553,0.3776681223500359,NEGATIVE,NEGATIVE,True,0.12233187764996412,IDENTIFIABLE,
