baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.5997845202717382,POSITIVE,POSITIVE,True,0.09978452027173823,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.5895079558234343,POSITIVE,POSITIVE,True,0.0895079558234343,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,6135,2407,2331,100,2231,0.5979515912147019,POSITIVE,POSITIVE,True,0.09795159121470187,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,6135,2407,2330,117,2213,0.5948976714905319,POSITIVE,POSITIVE,True,0.09489767149053185,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,2486,1941,1910,121,1789,0.5967390249874116,POSITIVE,POSITIVE,True,0.0967390249874116,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,2486,1941,1910,146,1764,0.5859057093156897,POSITIVE,POSITIVE,True,0.08590570931568975,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,6135,2407,2331,100,2231,0.5979515912147019,POSITIVE,POSITIVE,True,0.09795159121470187,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,6135,2407,2330,117,2213,0.5948976714905319,POSITIVE,POSITIVE,True,0.09489767149053185,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,2486,1941,1910,121,1789,0.5967390249874116,POSITIVE,POSITIVE,True,0.0967390249874116,IDENTIFIABLE,
B6,PRIMARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,2486,1941,1910,146,1764,0.5859057093156897,POSITIVE,POSITIVE,True,0.08590570931568975,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,6135,2407,2331,100,2231,0.5617929179740027,POSITIVE,POSITIVE,True,0.06179291797400266,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,6135,2407,2330,117,2213,0.5602423132924714,POSITIVE,POSITIVE,True,0.06024231329247143,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,2486,1941,1910,121,1789,0.5633393234135142,POSITIVE,POSITIVE,True,0.06333932341351423,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,2486,1941,1910,146,1764,0.558749184605349,POSITIVE,POSITIVE,True,0.05874918460534895,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,6135,2407,2331,100,2231,0.5617929179740027,POSITIVE,POSITIVE,True,0.06179291797400266,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,6135,2407,2330,117,2213,0.5602423132924714,POSITIVE,POSITIVE,True,0.06024231329247143,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,2486,1941,1910,121,1789,0.5633393234135142,POSITIVE,POSITIVE,True,0.06333932341351423,IDENTIFIABLE,
B6,PRIMARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,2486,1941,1910,146,1764,0.558749184605349,POSITIVE,POSITIVE,True,0.05874918460534895,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.4405606009410984,NEGATIVE,NEGATIVE,True,0.05943939905890161,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.42830684573281386,NEGATIVE,NEGATIVE,True,0.07169315426718614,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,2486,2343,2308,151,2157,0.42221997070987116,NEGATIVE,NEGATIVE,True,0.07778002929012884,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,2486,2343,2308,180,2128,0.40993238304093566,NEGATIVE,NEGATIVE,True,0.09006761695906434,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.4405606009410984,NEGATIVE,NEGATIVE,True,0.05943939905890161,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.42830684573281386,NEGATIVE,NEGATIVE,True,0.07169315426718614,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,2486,2343,2308,151,2157,0.42221997070987116,NEGATIVE,NEGATIVE,True,0.07778002929012884,IDENTIFIABLE,
B6,PRIMARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,2486,2343,2308,180,2128,0.40993238304093566,NEGATIVE,NEGATIVE,True,0.09006761695906434,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.43169556765531003,NEGATIVE,NEGATIVE,True,0.06830443234468997,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.4299947523182147,NEGATIVE,NEGATIVE,True,0.07000524768178529,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,2486,2342,2307,151,2156,0.5049484574082492,POSITIVE,NEGATIVE,False,0.004948457408249229,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,2486,2342,2307,180,2127,0.4947839941492974,NEGATIVE,NEGATIVE,True,0.0052160058507025875,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.43169556765531003,NEGATIVE,NEGATIVE,True,0.06830443234468997,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.4299947523182147,NEGATIVE,NEGATIVE,True,0.07000524768178529,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,2486,2342,2307,151,2156,0.5049484574082492,POSITIVE,NEGATIVE,False,0.004948457408249229,IDENTIFIABLE,
B6,PRIMARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,2486,2342,2307,180,2127,0.4947839941492974,NEGATIVE,NEGATIVE,True,0.0052160058507025875,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.4438130906045779,NEGATIVE,NEGATIVE,True,0.05618690939542209,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.4411541381928626,NEGATIVE,NEGATIVE,True,0.05884586180713741,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,2486,2342,2307,151,2156,0.503464841686223,POSITIVE,NEGATIVE,False,0.0034648416862229636,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,2486,2342,2307,180,2127,0.49440526563234605,NEGATIVE,NEGATIVE,True,0.005594734367653953,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.4438130906045779,NEGATIVE,NEGATIVE,True,0.05618690939542209,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.4411541381928626,NEGATIVE,NEGATIVE,True,0.05884586180713741,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,2486,2342,2307,151,2156,0.503464841686223,POSITIVE,NEGATIVE,False,0.0034648416862229636,IDENTIFIABLE,
B6,PRIMARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,2486,2342,2307,180,2127,0.49440526563234605,NEGATIVE,NEGATIVE,True,0.005594734367653953,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.5527955677412865,POSITIVE,POSITIVE,True,0.052795567741286464,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.5461290284752699,POSITIVE,POSITIVE,True,0.046129028475269895,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,2486,2343,2308,151,2157,0.514764803949562,POSITIVE,POSITIVE,True,0.014764803949562033,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,2486,2343,2308,180,2128,0.5294029344193818,POSITIVE,POSITIVE,True,0.0294029344193818,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,6135,5687,5530,219,5311,0.5527955677412865,POSITIVE,POSITIVE,True,0.052795567741286464,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,6135,5687,5527,259,5268,0.5461290284752699,POSITIVE,POSITIVE,True,0.046129028475269895,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,2486,2343,2308,151,2157,0.514764803949562,POSITIVE,POSITIVE,True,0.014764803949562033,IDENTIFIABLE,
B6,PRIMARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,2486,2343,2308,180,2128,0.5294029344193818,POSITIVE,POSITIVE,True,0.0294029344193818,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,7936,3690,3601,186,3415,0.5779333742659677,POSITIVE,POSITIVE,True,0.07793337426596769,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,7936,3690,3600,223,3377,0.5703884494290711,POSITIVE,POSITIVE,True,0.07038844942907108,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,685,658,640,35,605,0.6739079102715466,POSITIVE,POSITIVE,True,0.17390791027154662,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,685,658,640,40,600,0.6628333333333334,POSITIVE,POSITIVE,True,0.16283333333333339,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,7991,3710,3620,187,3433,0.578825211730748,POSITIVE,POSITIVE,True,0.07882521173074797,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,7991,3710,3619,224,3395,0.5712346149800126,POSITIVE,POSITIVE,True,0.0712346149800126,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,691,661,643,35,608,0.675516917293233,POSITIVE,POSITIVE,True,0.17551691729323304,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,691,661,643,40,603,0.664469320066335,POSITIVE,POSITIVE,True,0.16446932006633497,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_3d,7936,3690,3601,186,3415,0.5470308096789936,POSITIVE,POSITIVE,True,0.047030809678993646,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,NON_SIGNAL,outcome_5d,7936,3690,3600,223,3377,0.5437840522341187,POSITIVE,POSITIVE,True,0.04378405223411874,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_3d,685,658,640,35,605,0.612349468713105,POSITIVE,POSITIVE,True,0.11234946871310503,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,COMMON,SIGNAL,outcome_5d,685,658,640,40,600,0.5998125,POSITIVE,POSITIVE,True,0.09981249999999997,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_3d,7991,3710,3620,187,3433,0.5486579611851625,POSITIVE,POSITIVE,True,0.048657961185162524,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,NON_SIGNAL,outcome_5d,7991,3710,3619,224,3395,0.5452188091731538,POSITIVE,POSITIVE,True,0.045218809173153796,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_3d,691,661,643,35,608,0.6142152255639097,POSITIVE,POSITIVE,True,0.11421522556390973,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,OWN,SIGNAL,outcome_5d,691,661,643,40,603,0.601679104477612,POSITIVE,POSITIVE,True,0.10167910447761197,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,7936,7355,7181,335,6846,0.4088954875055049,NEGATIVE,NEGATIVE,True,0.09110451249449508,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,7936,7355,7178,399,6779,0.397884185312078,NEGATIVE,NEGATIVE,True,0.10211581468792202,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,685,675,657,35,622,0.4559026182820395,NEGATIVE,NEGATIVE,True,0.044097381717960515,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,685,675,657,40,617,0.45004051863857375,NEGATIVE,NEGATIVE,True,0.04995948136142625,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,7991,7355,7181,335,6846,0.4088954875055049,NEGATIVE,NEGATIVE,True,0.09110451249449508,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,7991,7355,7178,399,6779,0.397884185312078,NEGATIVE,NEGATIVE,True,0.10211581468792202,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,691,675,657,35,622,0.4559026182820395,NEGATIVE,NEGATIVE,True,0.044097381717960515,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,691,675,657,40,617,0.45004051863857375,NEGATIVE,NEGATIVE,True,0.04995948136142625,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,7936,7354,7180,335,6845,0.4039052364183465,NEGATIVE,NEGATIVE,True,0.09609476358165348,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,7936,7354,7177,399,6778,0.40108866145889954,NEGATIVE,NEGATIVE,True,0.09891133854110046,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,685,675,657,35,622,0.5012402388608176,POSITIVE,NEGATIVE,False,0.0012402388608175885,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,685,675,657,40,617,0.4963128038897893,NEGATIVE,NEGATIVE,True,0.0036871961102106776,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,7991,7354,7180,335,6845,0.4039052364183465,NEGATIVE,NEGATIVE,True,0.09609476358165348,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,7991,7354,7177,399,6778,0.40108866145889954,NEGATIVE,NEGATIVE,True,0.09891133854110046,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,691,675,657,35,622,0.5012402388608176,POSITIVE,NEGATIVE,False,0.0012402388608175885,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,691,675,657,40,617,0.4963128038897893,NEGATIVE,NEGATIVE,True,0.0036871961102106776,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,7936,7354,7180,335,6845,0.41126260588947156,NEGATIVE,NEGATIVE,True,0.08873739411052844,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,7936,7354,7177,399,6778,0.4075162825919919,NEGATIVE,NEGATIVE,True,0.09248371740800809,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,685,675,657,35,622,0.5054662379421222,POSITIVE,NEGATIVE,False,0.0054662379421221985,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,685,675,657,40,617,0.5119124797406807,POSITIVE,NEGATIVE,False,0.01191247974068066,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,7991,7354,7180,335,6845,0.41126260588947156,NEGATIVE,NEGATIVE,True,0.08873739411052844,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,7991,7354,7177,399,6778,0.4075162825919919,NEGATIVE,NEGATIVE,True,0.09248371740800809,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,691,675,657,35,622,0.5054662379421222,POSITIVE,NEGATIVE,False,0.0054662379421221985,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,691,675,657,40,617,0.5119124797406807,POSITIVE,NEGATIVE,False,0.01191247974068066,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,7936,7355,7181,335,6846,0.5880653699076921,POSITIVE,POSITIVE,True,0.08806536990769209,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,7936,7355,7178,399,6779,0.5884343178347107,POSITIVE,POSITIVE,True,0.08843431783471067,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,685,675,657,35,622,0.5525264124942582,POSITIVE,POSITIVE,True,0.05252641249425816,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,685,675,657,40,617,0.544935170178282,POSITIVE,POSITIVE,True,0.04493517017828197,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,7991,7355,7181,335,6846,0.5880653699076921,POSITIVE,POSITIVE,True,0.08806536990769209,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,7991,7355,7178,399,6779,0.5884343178347107,POSITIVE,POSITIVE,True,0.08843431783471067,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,691,675,657,35,622,0.5525264124942582,POSITIVE,POSITIVE,True,0.05252641249425816,IDENTIFIABLE,
B7,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,691,675,657,40,617,0.544935170178282,POSITIVE,POSITIVE,True,0.04493517017828197,IDENTIFIABLE,
