setup_id,symbol,candidate_date,t0_date,first_observation_stage,s1_price,price_tick,event_search_start,event_search_end,setup_ledger_sha256,prior_intraday_ledger_sha256,authority_state_generation
600793:20260810:1566,600793,2026-08-11,2026-08-10,B1_READY,19.4000,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
600815:20260810:361,600815,2026-08-11,2026-08-10,B1_READY,4.0700,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
600936:20260810:616,600936,2026-08-11,2026-08-10,B1_READY,6.6600,0.01,2026-08-12,2026-08-19,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
600985:20260806:1650,600985,2026-08-10,2026-08-06,B2_READY,17.4000,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
601126:20260804:4213,601126,2026-08-10,2026-08-04,B2_READY,53.0000,0.01,2026-08-11,2026-08-13,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
601138:20260805:6592,601138,2026-08-10,2026-08-05,B2_READY,71.0000,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
601231:20260805:2596,601231,2026-08-10,2026-08-05,B2_READY,29.0800,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
601699:20260806:1624,601699,2026-08-10,2026-08-06,B2_READY,17.3900,0.01,2026-08-11,2026-08-17,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
601865:20260807:1175,601865,2026-08-11,2026-08-07,B1_READY,12.0300,0.01,2026-08-12,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-11-e71e21b00729
601869:20260805:31240,601869,2026-08-10,2026-08-05,B2_READY,408.6000,0.01,2026-08-11,2026-08-14,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
603011:20260807:2268,603011,2026-08-10,2026-08-07,B1_READY,25.9800,0.01,2026-08-11,2026-08-18,33477d92689e92901de51f20594899c1f1cd0f3448f6ecb06e9acc28c92768fd,5d358b6c5a5867da6c0266c0be765b15c358f3e7c86e6435a9368d6de55300a4,stategen-2026-08-10-b0b209bda1d7
