episode_id,outcome,CHECKPOINT,quiet_score
000050:20260617:914,FAILED_BREAKOUT,0945,0.360269
002927:20260616:2224,UNKNOWN,0945,0.821549
002346:20260616:1801,FAILED_BREAKOUT,0945,0.777778
002830:20260612:1676,SUCCESS,0945,0.161616
002317:20260618:2290,FAILED_BREAKOUT,0945,0.127946
002442:20260618:548,FAILED_BREAKOUT,0945,0.363636
603127:20260618:3566,FAILED_BREAKOUT,0945,0.508418
603929:20260617:23218,FAILED_BREAKOUT,0945,0.693603
600026:20260617:1969,FAILED_BREAKOUT,0945,0.383838
601872:20260622:1885,FAILED_BREAKOUT,0945,0.659933
000833:20260622:2413,STRUCTURE_FAIL,0945,0.646465
002885:20260622:4687,STRUCTURE_FAIL,0945,0.548822
002392:20260618:881,FAILED_BREAKOUT,0945,0.676768
603629:20260622:19424,UNKNOWN,0945,0.340067
002601:20260622:1703,FAILED_BREAKOUT,0945,0.565657
002440:20260622:1099,FAILED_BREAKOUT,0945,0.538721
600488:20260623:497,STRUCTURE_FAIL,0945,0.164983
600531:20260622:1481,SUCCESS,0945,0.545455
002728:20260623:882,STRUCTURE_FAIL,0945,0.340067
000756:20260623:1344,STRUCTURE_FAIL,0945,0.124579
600708:20260623:329,SUCCESS,0945,0.30303
603661:20260622:3573,FAILED_BREAKOUT,0945,0.43771
002963:20260622:2144,FAILED_BREAKOUT,0945,0.451178
603630:20260623:1425,STRUCTURE_FAIL,0945,0.494949
001206:20260623:1854,FAILED_BREAKOUT,0945,0.255892
603588:20260622:1761,SUCCESS,0945,0.505051
002549:20260623:1867,FAILED_BREAKOUT,0945,0.387205
600058:20260622:1131,SUCCESS,0945,0.811448
002910:20260622:1282,STRUCTURE_FAIL,0945,0.602694
600234:20260622:3034,FAILED_BREAKOUT,0945,0.585859
002370:20260623:541,STRUCTURE_FAIL,0945,0.114478
605369:20260623:1694,FAILED_BREAKOUT,0945,0.255892
002038:20260623:554,STRUCTURE_FAIL,0945,0.13468
603318:20260623:1169,STRUCTURE_FAIL,0945,0.121212
002427:20260624:474,FAILED_BREAKOUT,0945,0.319865
603203:20260624:7014,FAILED_BREAKOUT,0945,0.505051
605300:20260625:943,FAILED_BREAKOUT,0945,0.26936
603297:20260624:13289,FAILED_BREAKOUT,0945,0.727273
600539:20260626:1432,FAILED_BREAKOUT,0945,0.188552
002518:20260625:5443,FAILED_BREAKOUT,0945,0.690236
002497:20260624:2360,FAILED_BREAKOUT,0945,0.481481
600118:20260626:7777,FAILED_BREAKOUT,0945,0.430976
603063:20260625:5517,FAILED_BREAKOUT,0945,0.592593
603318:20260629:969,NO_LAUNCH,0945,0.259259
002728:20260629:880,SUCCESS,0945,0.521886
002370:20260629:537,SUCCESS,0945,0.380471
002038:20260629:558,SUCCESS,0945,0.373737
001270:20260626:13943,FAILED_BREAKOUT,0945,0.646465
002693:20260629:911,SUCCESS,0945,0.464646
002915:20260629:2034,SUCCESS,0945,0.420875
600516:20260625:677,FAILED_BREAKOUT,0945,0.424242
000756:20260629:1359,FAILED_BREAKOUT,0945,0.518519
002910:20260626:1227,NO_LAUNCH,0945,0.410774
603477:20260629:1455,FAILED_BREAKOUT,0945,0.491582
600488:20260629:484,SUCCESS,0945,0.680135
002472:20260630:4151,SUCCESS,0945,0.56229
002805:20260630:2859,STRUCTURE_FAIL,0945,0.195286
603717:20260623:679,SUCCESS,0945,0.417508
002615:20260630:690,FAILED_BREAKOUT,0945,0.552189
001215:20260626:3917,FAILED_BREAKOUT,0945,0.552189
601882:20260630:2023,FAILED_BREAKOUT,0945,0.727273
600846:20260630:1000,FAILED_BREAKOUT,0945,0.515152
603211:20260630:3551,SUCCESS,0945,0.535354
